task_id,decision,reason,delta_vs_ours
task052,keep_v3,non_nadeem_source,
task053,keep_v3,non_nadeem_source,
task054,keep_nadeem,high_delta(+0.190),+0.1900
task055,keep_v3,non_nadeem_source,
task056,keep_nadeem,high_delta(+0.967),+0.9666
task057,keep_nadeem,high_delta(+0.468),+0.4685
task058,keep_v3,non_nadeem_source,
task059,keep_v3,non_nadeem_source,
task060,keep_v3,non_nadeem_source,
task061,keep_v3,non_nadeem_source,
task062,keep_v3,non_nadeem_source,
task063,keep_v3,non_nadeem_source,
task064,keep_nadeem,high_delta(+0.144),+0.1439
task065,keep_v3,non_nadeem_source,
task066,keep_nadeem,high_delta(+1.576),+1.5764
task067,keep_v3,non_nadeem_source,
task068,keep_v3,non_nadeem_source,
task069,revert_to_ours,LOW_DELTA(+0.001),+0.0014
task070,keep_v3,non_nadeem_source,
task071,keep_v3,non_nadeem_source,
task072,revert_to_ours,LOW_DELTA(+0.022),+0.0219
task073,keep_v3,non_nadeem_source,
task074,keep_v3,non_nadeem_source,
task075,keep_v3,non_nadeem_source,
task076,keep_nadeem,high_delta(+1.458),+1.4580
task077,keep_nadeem,high_delta(+0.197),+0.1973
task078,keep_v3,non_nadeem_source,
task079,keep_nadeem,high_delta(+0.154),+0.1544
task080,keep_nadeem,high_delta(+1.305),+1.3047
task081,keep_v3,non_nadeem_source,
task082,keep_v3,non_nadeem_source,
task083,keep_v3,non_nadeem_source,
task084,keep_v3,non_nadeem_source,
task085,keep_v3,non_nadeem_source,
task086,keep_v3,non_nadeem_source,
task087,revert_to_ours,LOW_DELTA(+0.022),+0.0215
task088,keep_nadeem,high_delta(+0.336),+0.3364
task089,keep_v3,non_nadeem_source,
task090,keep_v3,non_nadeem_source,
task091,revert_to_ours,LOW_DELTA(+0.001),+0.0006
task092,keep_nadeem,high_delta(+1.186),+1.1858
task093,keep_nadeem,high_delta(+0.775),+0.7747
task094,keep_nadeem,high_delta(+1.394),+1.3936
task095,keep_v3,non_nadeem_source,
task096,keep_nadeem,high_delta(+0.907),+0.9069
task097,keep_nadeem,high_delta(+0.217),+0.2168
task098,keep_v3,non_nadeem_source,
task099,keep_v3,non_nadeem_source,
task100,revert_to_ours,LOW_DELTA(+0.079),+0.0794
task101,keep_nadeem,high_delta(+1.215),+1.2150
task102,keep_nadeem,high_delta(+1.266),+1.2655
task103,keep_nadeem,high_delta(+0.282),+0.2825
task104,revert_to_ours,LOW_DELTA(+0.021),+0.0215
task105,keep_nadeem,high_delta(+1.643),+1.6430
task106,keep_v3,non_nadeem_source,
task107,keep_v3,non_nadeem_source,
task108,keep_v3,non_nadeem_source,
task109,keep_v3,non_nadeem_source,
task110,revert_to_ours,LOW_DELTA(+0.070),+0.0699
task111,keep_v3,non_nadeem_source,
task112,keep_v3,non_nadeem_source,
task113,keep_v3,non_nadeem_source,
task114,keep_v3,non_nadeem_source,
task115,keep_v3,non_nadeem_source,
task116,keep_v3,non_nadeem_source,
task117,keep_v3,non_nadeem_source,
task118,keep_nadeem,high_delta(+2.920),+2.9199
task119,keep_nadeem,high_delta(+1.056),+1.0562
task120,keep_v3,non_nadeem_source,
task121,keep_v3,non_nadeem_source,
task122,keep_v3,non_nadeem_source,
task123,keep_v3,non_nadeem_source,
task124,keep_v3,non_nadeem_source,
task125,keep_v3,non_nadeem_source,
task126,keep_v3,non_nadeem_source,
task127,keep_v3,non_nadeem_source,
task128,keep_v3,non_nadeem_source,
task129,keep_v3,non_nadeem_source,
task130,keep_v3,non_nadeem_source,
task131,keep_v3,non_nadeem_source,
task132,keep_v3,non_nadeem_source,
task133,keep_nadeem,high_delta(+3.860),+3.8604
task134,keep_nadeem,high_delta(+0.316),+0.3163
task135,revert_to_ours,LOW_DELTA(+0.017),+0.0165
task136,keep_nadeem,high_delta(+0.944),+0.9441
task137,keep_v3,non_nadeem_source,
task138,keep_nadeem,high_delta(+1.405),+1.4053
task139,keep_v3,non_nadeem_source,
task140,revert_to_ours,LOW_DELTA(+0.022),+0.0215
task141,keep_v3,non_nadeem_source,
task142,keep_v3,non_nadeem_source,
task143,keep_v3,non_nadeem_source,
task144,keep_v3,non_nadeem_source,
task145,keep_v3,non_nadeem_source,
task146,keep_v3,non_nadeem_source,
task147,keep_v3,non_nadeem_source,
task148,keep_v3,non_nadeem_source,
task149,keep_v3,non_nadeem_source,
task150,revert_to_ours,LOW_DELTA(+0.059),+0.0593
task151,keep_v3,non_nadeem_source,
task152,keep_v3,non_nadeem_source,
task153,keep_nadeem,high_delta(+3.547),+3.5472
task154,keep_nadeem,high_delta(+0.201),+0.2010
task155,revert_to_ours,LOW_DELTA(+0.059),+0.0593
task156,keep_nadeem,high_delta(+0.800),+0.8002
task157,keep_nadeem,high_delta(+3.840),+3.8400
task158,keep_nadeem,high_delta(+2.856),+2.8560
task159,keep_v3,non_nadeem_source,
task160,keep_nadeem,high_delta(+0.892),+0.8925
task161,keep_nadeem,high_delta(+0.749),+0.7489
task162,keep_v3,non_nadeem_source,
task163,keep_v3,non_nadeem_source,
task164,keep_v3,non_nadeem_source,
task165,keep_v3,non_nadeem_source,
task166,keep_v3,non_nadeem_source,
task167,keep_v3,non_nadeem_source,
task168,revert_to_ours,LOW_DELTA(+0.005),+0.0049
task169,keep_nadeem,high_delta(+0.378),+0.3782
task170,revert_to_ours,LOW_DELTA(+0.044),+0.0444
task171,keep_v3,non_nadeem_source,
task172,keep_v3,non_nadeem_source,
task173,revert_to_ours,LOW_DELTA(+0.035),+0.0350
task174,revert_to_ours,LOW_DELTA(+0.021),+0.0205
task175,keep_v3,non_nadeem_source,
task176,keep_v3,non_nadeem_source,
task177,keep_nadeem,high_delta(+0.199),+0.1995
task178,keep_v3,non_nadeem_source,
task179,keep_v3,non_nadeem_source,
task180,keep_v3,non_nadeem_source,
task181,keep_v3,non_nadeem_source,
task182,keep_nadeem,high_delta(+2.777),+2.7767
task183,keep_v3,non_nadeem_source,
task184,revert_to_ours,HIGH_STRUCT_RISK,+0.1300
task185,keep_nadeem,high_delta(+0.241),+0.2412
task186,keep_nadeem,high_delta(+0.542),+0.5422
task187,revert_to_ours,LOW_DELTA(+0.009),+0.0085
task188,keep_v3,non_nadeem_source,
task189,revert_to_ours,LOW_DELTA(+0.001),+0.0014
task190,keep_v3,non_nadeem_source,
task191,revert_to_ours,AUDIT_REGRESSION,+2.0749
task192,revert_to_ours,LOW_DELTA(+0.048),+0.0482
task193,keep_v3,non_nadeem_source,
task194,keep_v3,non_nadeem_source,
task195,keep_v3,non_nadeem_source,
task196,keep_v3,non_nadeem_source,
task197,keep_v3,non_nadeem_source,
task198,keep_v3,non_nadeem_source,
task199,keep_v3,non_nadeem_source,
task200,keep_nadeem,high_delta(+0.235),+0.2354
task201,revert_to_ours,LOW_DELTA(+0.008),+0.0084
task202,keep_v3,non_nadeem_source,
task203,keep_v3,non_nadeem_source,
task204,keep_nadeem,high_delta(+0.323),+0.3226
task205,keep_nadeem,high_delta(+1.086),+1.0864
task206,revert_to_ours,LOW_DELTA(+0.080),+0.0797
task207,keep_v3,non_nadeem_source,
task208,keep_v3,non_nadeem_source,
task209,keep_nadeem,high_delta(+2.820),+2.8203
task210,keep_v3,non_nadeem_source,
task211,keep_v3,non_nadeem_source,
task212,revert_to_ours,LOW_DELTA(+0.010),+0.0099
task213,revert_to_ours,LOW_DELTA(+0.042),+0.0416
task214,keep_v3,non_nadeem_source,
task215,keep_nadeem,high_delta(+0.131),+0.1308
task216,revert_to_ours,LOW_DELTA(+0.006),+0.0058
task217,keep_nadeem,high_delta(+1.458),+1.4585
task218,keep_v3,non_nadeem_source,
task219,keep_nadeem,high_delta(+5.226),+5.2257
task220,keep_v3,non_nadeem_source,
task221,keep_v3,non_nadeem_source,
task222,keep_v3,non_nadeem_source,
task223,keep_v3,non_nadeem_source,
task224,keep_v3,non_nadeem_source,
task225,revert_to_ours,LOW_DELTA(+0.015),+0.0145
task226,keep_v3,non_nadeem_source,
task227,keep_v3,non_nadeem_source,
task228,keep_v3,non_nadeem_source,
task229,keep_v3,non_nadeem_source,
task230,keep_v3,non_nadeem_source,
task231,keep_v3,non_nadeem_source,
task232,keep_v3,non_nadeem_source,
task233,keep_nadeem,high_delta(+0.797),+0.7971
task234,keep_nadeem,high_delta(+0.538),+0.5381
task235,keep_v3,non_nadeem_source,
task236,keep_nadeem,high_delta(+0.116),+0.1159
task237,keep_v3,non_nadeem_source,
task238,keep_v3,non_nadeem_source,
task239,keep_v3,non_nadeem_source,
task240,revert_to_ours,HIGH_STRUCT_RISK,+0.5389
task241,keep_v3,non_nadeem_source,
task242,keep_nadeem,high_delta(+0.194),+0.1941
task243,keep_nadeem,high_delta(+0.697),+0.6967
task244,revert_to_ours,LOW_DELTA(+0.026),+0.0258
task245,keep_nadeem,high_delta(+1.124),+1.1238
task246,keep_v3,non_nadeem_source,
task247,keep_v3,non_nadeem_source,
task248,keep_v3,non_nadeem_source,
task249,keep_v3,non_nadeem_source,
task250,revert_to_ours,LOW_DELTA(+0.099),+0.0987
task251,revert_to_ours,LOW_DELTA(+0.009),+0.0089
task252,revert_to_ours,LOW_DELTA(+0.006),+0.0059
task253,keep_v3,non_nadeem_source,
task254,keep_v3,non_nadeem_source,
task255,revert_to_ours,HIGH_STRUCT_RISK,+3.2361
task256,revert_to_ours,LOW_DELTA(+0.008),+0.0079
task257,keep_v3,non_nadeem_source,
task258,keep_v3,non_nadeem_source,
task259,revert_to_ours,LOW_DELTA(+0.006),+0.0061
task260,keep_v3,non_nadeem_source,
task261,keep_v3,non_nadeem_source,
task262,keep_nadeem,high_delta(+0.679),+0.6789
task263,keep_v3,non_nadeem_source,
task264,keep_v3,non_nadeem_source,
task265,keep_v3,non_nadeem_source,
task266,keep_v3,non_nadeem_source,
task267,keep_v3,non_nadeem_source,
task268,keep_v3,non_nadeem_source,
task269,keep_v3,non_nadeem_source,
task270,revert_to_ours,LOW_DELTA(+0.052),+0.0515
task271,keep_v3,non_nadeem_source,
task272,keep_v3,non_nadeem_source,
task273,keep_v3,non_nadeem_source,
task274,revert_to_ours,LOW_DELTA(+0.021),+0.0208
task275,keep_v3,non_nadeem_source,
task276,keep_v3,non_nadeem_source,
task277,keep_nadeem,high_delta(+1.575),+1.5748
task278,keep_v3,non_nadeem_source,
task279,revert_to_ours,LOW_DELTA(+0.041),+0.0406
task280,keep_nadeem,high_delta(+0.431),+0.4308
task281,keep_v3,non_nadeem_source,
task282,keep_v3,non_nadeem_source,
task283,keep_v3,non_nadeem_source,
task284,keep_nadeem,high_delta(+0.162),+0.1625
task285,keep_nadeem,high_delta(+5.504),+5.5039
task286,keep_v3,non_nadeem_source,
task287,keep_v3,non_nadeem_source,
task288,keep_v3,non_nadeem_source,
task289,keep_v3,non_nadeem_source,
task290,keep_nadeem,high_delta(+2.248),+2.2479
task291,keep_v3,non_nadeem_source,
task292,revert_to_ours,LOW_DELTA(+0.006),+0.0063
task293,revert_to_ours,LOW_DELTA(+0.020),+0.0202
task294,keep_v3,non_nadeem_source,
task295,keep_v3,non_nadeem_source,
task296,keep_v3,non_nadeem_source,
task297,revert_to_ours,LOW_DELTA(+0.036),+0.0360
task298,keep_v3,non_nadeem_source,
task299,keep_v3,non_nadeem_source,
task300,revert_to_ours,LOW_DELTA(+0.000),+0.0004
task301,revert_to_ours,HIGH_STRUCT_RISK,+0.1513
task302,keep_nadeem,high_delta(+1.007),+1.0070
task303,keep_v3,non_nadeem_source,
task304,revert_to_ours,LOW_DELTA(+0.006),+0.0055
task305,keep_v3,non_nadeem_source,
task306,keep_nadeem,high_delta(+0.330),+0.3300
task307,keep_v3,non_nadeem_source,
task308,keep_nadeem,high_delta(+0.810),+0.8104
task309,keep_v3,non_nadeem_source,
task310,keep_nadeem,high_delta(+0.827),+0.8274
task311,keep_v3,non_nadeem_source,
task312,keep_v3,non_nadeem_source,
task313,keep_v3,non_nadeem_source,
task314,keep_v3,non_nadeem_source,
task315,keep_nadeem,high_delta(+0.366),+0.3659
task316,keep_nadeem,high_delta(+2.580),+2.5800
task317,keep_v3,non_nadeem_source,
task318,revert_to_ours,LOW_DELTA(+0.020),+0.0201
task319,keep_nadeem,high_delta(+6.667),+6.6665
task320,keep_v3,non_nadeem_source,
task321,keep_v3,non_nadeem_source,
task322,keep_nadeem,high_delta(+0.189),+0.1886
task323,keep_nadeem,high_delta(+1.892),+1.8922
task324,keep_nadeem,high_delta(+2.535),+2.5348
task325,keep_v3,non_nadeem_source,
task326,revert_to_ours,LOW_DELTA(+0.037),+0.0368
task327,keep_v3,non_nadeem_source,
task328,keep_v3,non_nadeem_source,
task329,keep_v3,non_nadeem_source,
task330,keep_v3,non_nadeem_source,
task331,keep_v3,non_nadeem_source,
task332,keep_v3,non_nadeem_source,
task333,keep_v3,non_nadeem_source,
task334,keep_nadeem,high_delta(+0.431),+0.4309
task335,revert_to_ours,LOW_DELTA(+0.065),+0.0651
task336,keep_v3,non_nadeem_source,
task337,keep_v3,non_nadeem_source,
task338,revert_to_ours,LOW_DELTA(+0.041),+0.0410
task339,keep_v3,non_nadeem_source,
task340,keep_v3,non_nadeem_source,
task341,keep_v3,non_nadeem_source,
task342,keep_v3,non_nadeem_source,
task343,keep_v3,non_nadeem_source,
task344,keep_v3,non_nadeem_source,
task345,keep_nadeem,high_delta(+1.349),+1.3491
task346,revert_to_ours,LOW_DELTA(+0.000),+0.0000
task347,revert_to_ours,LOW_DELTA(+0.015),+0.0148
task348,keep_v3,non_nadeem_source,
task349,revert_to_ours,HIGH_STRUCT_RISK,+1.0874
task350,keep_nadeem,high_delta(+0.371),+0.3707
task351,keep_v3,non_nadeem_source,
task352,keep_v3,non_nadeem_source,
task353,keep_v3,non_nadeem_source,
task354,keep_nadeem,high_delta(+0.605),+0.6052
task355,keep_nadeem,high_delta(+0.439),+0.4388
task356,keep_v3,non_nadeem_source,
task357,keep_v3,non_nadeem_source,
task358,keep_v3,non_nadeem_source,
task359,keep_nadeem,high_delta(+0.190),+0.1902
task360,keep_v3,non_nadeem_source,
task361,revert_to_ours,LOW_DELTA(+0.036),+0.0355
task362,revert_to_ours,LOW_DELTA(+0.008),+0.0083
task363,keep_nadeem,high_delta(+1.752),+1.7524
task364,keep_nadeem,high_delta(+0.661),+0.6614
task365,revert_to_ours,LOW_DELTA(+0.003),+0.0032
task366,keep_nadeem,high_delta(+4.274),+4.2738
task367,keep_nadeem,high_delta(+1.861),+1.8612
task368,keep_v3,non_nadeem_source,
task369,keep_v3,non_nadeem_source,
task370,keep_nadeem,high_delta(+1.186),+1.1856
task371,keep_v3,non_nadeem_source,
task372,keep_nadeem,high_delta(+0.394),+0.3944
task373,keep_nadeem,high_delta(+0.179),+0.1795
task374,keep_nadeem,high_delta(+1.196),+1.1956
task375,keep_v3,non_nadeem_source,
task376,keep_nadeem,high_delta(+0.550),+0.5501
task377,revert_to_ours,LOW_DELTA(+0.047),+0.0466
task378,revert_to_ours,LOW_DELTA(+0.050),+0.0498
task379,keep_v3,non_nadeem_source,
task380,revert_to_ours,LOW_DELTA(+0.012),+0.0123
task381,keep_nadeem,high_delta(+2.440),+2.4396
task382,keep_nadeem,high_delta(+0.592),+0.5919
task383,revert_to_ours,LOW_DELTA(+0.007),+0.0069
task384,revert_to_ours,LOW_DELTA(+0.000),+0.0004
task385,keep_v3,non_nadeem_source,
task386,revert_to_ours,LOW_DELTA(+0.011),+0.0109
task387,keep_nadeem,high_delta(+2.206),+2.2058
task388,keep_nadeem,high_delta(+0.511),+0.5107
task389,keep_v3,non_nadeem_source,
task390,revert_to_ours,LOW_DELTA(+0.001),+0.0012
task391,keep_v3,non_nadeem_source,
task392,keep_v3,non_nadeem_source,
task393,keep_nadeem,high_delta(+2.549),+2.5491
task394,keep_v3,non_nadeem_source,
task395,keep_v3,non_nadeem_source,
task396,revert_to_ours,HIGH_STRUCT_RISK,+0.1587
task397,revert_to_ours,LOW_DELTA(+0.005),+0.0047
task398,keep_v3,non_nadeem_source,
task399,keep_v3,non_nadeem_source,
task400,keep_v3,non_nadeem_source,
