task_id,v4plus_pass,v4_pass,ours_pass,v4plus_status,v4plus_cost,v4plus_score,v4_cost,ours_cost,regression_from_v4,perfect
task108,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task109,266/266,266/266,266/266,ok,94651,13.5420,94651,94651,0,1
task110,266/266,266/266,266/266,ok,117106,13.3292,117106,117106,0,1
task111,265/265,265/265,265/265,ok,797,18.3191,797,797,0,1
task112,266/266,266/266,266/266,ok,59270,14.0101,59270,59270,0,1
task113,265/265,265/265,265/265,ok,30,21.5988,30,30,0,1
task114,266/266,266/266,266/266,ok,1254,17.8659,1254,1254,0,1
task115,266/266,266/266,266/266,ok,4122,16.6759,4122,4122,0,1
task116,267/267,267/267,267/267,ok,30,21.5988,30,30,0,1
task117,265/265,265/265,265/265,ok,18146,15.1938,18146,18146,0,1
task118,267/267,267/267,267/267,ok,116244,13.3366,116244,2155775,0,1
task119,266/266,266/266,266/266,ok,16640,15.2804,16640,47848,0,1
task120,266/266,266/266,266/266,ok,910,18.1866,910,910,0,1
task121,266/266,266/266,266/266,ok,6530,16.2158,6530,6530,0,1
task122,266/266,266/266,266/266,ok,2510,17.1720,2510,2510,0,1
task123,265/265,265/265,265/265,ok,4104,16.6803,4104,4104,0,1
task124,267/267,267/267,267/267,ok,10873,15.7060,10873,10873,0,1
task125,265/265,265/265,265/265,ok,13417,15.4957,13417,13417,0,1
task126,266/266,266/266,266/266,ok,86091,13.6368,86091,86091,0,1
task127,267/267,267/267,267/267,ok,900,18.1976,900,900,0,1
task128,266/266,266/266,266/266,ok,95042,13.5379,95042,95042,0,1
task129,265/265,265/265,265/265,ok,818,18.2931,818,818,0,1
task130,265/265,265/265,265/265,ok,15948,15.3229,15948,15948,0,1
task131,266/266,266/266,266/266,ok,44550,14.2956,44550,44550,0,1
task132,267/267,267/267,267/267,ok,29458,14.7093,29458,29458,0,1
task133,267/267,267/267,267/267,ok,196680,12.8107,196680,9344642,0,1
task134,266/266,266/266,266/266,ok,12388,15.5755,12388,16997,0,1
task135,266/266,266/266,266/266,ok,366,19.0974,366,366,0,1
task136,266/266,266/266,266/266,ok,4837,16.5160,4837,12433,0,1
task137,266/266,266/266,266/266,ok,58034,14.0312,58034,58034,0,1
task138,266/266,266/266,266/266,ok,48399,14.2128,48399,197964,0,1
task139,265/265,265/265,265/265,ok,3630,16.8030,3630,3630,0,1
task140,265/265,265/265,265/265,ok,376,19.0704,376,376,0,1
task141,265/265,265/265,265/265,ok,15819,15.3310,15819,15819,0,1
task142,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task143,266/266,266/266,266/266,ok,19441,15.1249,19441,19441,0,1
task144,267/267,267/267,267/267,ok,786,18.3330,786,786,0,1
task145,267/267,267/267,267/267,ok,73357,13.7969,73357,73357,0,1
task146,267/267,267/267,267/267,ok,2256,17.2787,2256,2256,0,1
task147,267/267,267/267,267/267,ok,910,18.1866,910,910,0,1
task148,266/266,266/266,266/266,ok,22029,14.9999,22029,22029,0,1
task149,267/267,267/267,267/267,ok,5139,16.4554,5139,5139,0,1
task150,266/266,266/266,266/266,ok,1076,18.0190,1076,1076,0,1
task151,266/266,266/266,266/266,ok,910,18.1866,910,910,0,1
task152,267/267,267/267,267/267,ok,1800,17.5045,1800,1800,0,1
task153,265/265,265/265,265/265,ok,21618,15.0187,21618,755558,0,1
task154,266/266,266/266,266/266,ok,43382,14.3222,43382,55718,0,1
task155,266/266,266/266,266/266,ok,1076,18.0190,1076,1076,0,1
task156,265/265,265/265,265/265,ok,26350,14.8208,26350,59102,0,1
task157,265/265,265/265,265/265,ok,75113,13.7733,75113,3947893,0,1
task158,266/266,266/266,266/266,ok,191304,12.8384,191304,3364477,0,1
task159,265/265,265/265,265/265,ok,89501,13.5980,89501,89501,0,1
task160,265/265,265/265,265/265,ok,4586,16.5692,4586,11195,0,1
task161,266/266,266/266,266/266,ok,64639,13.9234,64639,136708,0,1
task162,266/266,266/266,266/266,ok,63291,13.9445,63291,63291,0,1
task163,267/267,267/267,267/267,ok,23949,14.9163,23949,23949,0,1
task164,267/267,267/267,267/267,ok,30,21.5988,30,30,0,1
task165,265/265,265/265,265/265,ok,67524,13.8798,67524,67524,0,1
task166,266/266,266/266,266/266,ok,24789,14.8818,24789,24789,0,1
task167,268/268,268/268,268/268,ok,685,18.4706,685,685,0,1
task168,265/265,265/265,265/265,ok,20503,15.0717,20503,20503,0,1
task169,266/266,266/266,266/266,ok,23629,14.9298,23629,34489,0,1
task170,266/266,266/266,266/266,ok,82130,13.6839,82130,82130,0,1
task171,54/54,54/54,54/54,ok,910,18.1866,910,910,0,1
task172,267/267,267/267,267/267,ok,30,21.5988,30,30,0,1
task173,266/266,266/266,266/266,ok,181492,12.8910,181492,181492,0,1
task174,266/266,266/266,266/266,ok,53099,14.1201,53099,53099,0,1
task175,266/266,266/266,266/266,ok,87620,13.6192,87620,87620,0,1
task176,25/25,25/25,25/25,ok,7920,16.0229,7920,7920,0,1
task177,265/265,265/265,265/265,ok,59826,14.0008,59826,74705,0,1
task178,268/268,268/268,268/268,ok,29331,14.7136,29331,29331,0,1
task179,267/267,267/267,267/267,ok,0,25.0000,0,0,0,1
task180,268/268,268/268,268/268,ok,7450,16.0840,7450,7450,0,1
task181,266/266,266/266,266/266,ok,1194,17.9149,1194,1194,0,1
task182,267/267,267/267,267/267,ok,47587,14.2297,47587,765146,0,1
task183,265/265,265/265,265/265,ok,24854,14.8792,24854,24854,0,1
task184,169/169,169/169,169/169,ok,44248,14.3024,44248,44248,0,1
task185,267/267,267/267,267/267,ok,59584,14.0049,59584,75838,0,1
task186,267/267,267/267,267/267,ok,360,19.1139,360,626,0,1
task187,266/266,266/266,266/266,ok,106213,13.4268,106213,106213,0,1
task188,266/266,266/266,266/266,ok,10664,15.7254,10664,10664,0,1
task189,266/266,266/266,266/266,ok,24684,14.8861,24684,24684,0,1
task190,266/266,266/266,266/266,ok,11204,15.6760,11204,11204,0,1
task191,267/267,267/267,267/267,ok,709342,11.5279,709342,709342,0,1
task192,265/265,265/265,265/265,ok,54535,14.0934,54535,54535,0,1
task193,266/266,266/266,266/266,ok,53661,14.1096,53661,53661,0,1
task194,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task195,265/265,265/265,265/265,ok,14229,15.4370,14229,14229,0,1
task196,266/266,266/266,266/266,ok,32242,14.6190,32242,32242,0,1
task197,267/267,267/267,267/267,ok,50688,14.1666,50688,50688,0,1
task198,266/266,266/266,266/266,ok,103821,13.4496,103821,103821,0,1
task199,266/266,266/266,266/266,ok,16157,15.3099,16157,16157,0,1
task200,84/84,84/84,84/84,ok,8295,15.9766,8295,10511,0,1
task201,266/266,266/266,266/266,ok,93480,13.5545,93480,93480,0,1
task202,230/230,230/230,230/230,ok,125720,13.2582,125720,125720,0,1
task203,267/267,267/267,267/267,ok,86534,13.6317,86534,86534,0,1
task204,268/268,268/268,268/268,ok,118846,13.3144,118846,165194,0,1
task205,266/266,266/266,266/266,ok,112313,13.3710,112313,332837,0,1
task206,266/266,266/266,266/266,ok,66480,13.8953,66480,66480,0,1
task207,265/265,265/265,265/265,ok,1875,17.4636,1875,1875,0,1
task208,266/266,266/266,266/266,ok,92408,13.5660,92408,92408,0,1
task209,266/266,266/266,266/266,ok,122356,13.2853,122356,2053296,0,1
task210,266/266,266/266,266/266,ok,30,21.5988,30,30,0,1
task211,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task212,265/265,265/265,265/265,ok,10069,15.7828,10069,10069,0,1
task213,265/265,265/265,265/265,ok,52361,14.1341,52361,52361,0,1
task214,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task215,265/265,265/265,265/265,ok,38094,14.4522,38094,43419,0,1
task216,266/266,266/266,266/266,ok,104412,13.4439,104412,104412,0,1
task217,266/266,266/266,266/266,ok,17924,15.2061,17924,77061,0,1
task218,266/266,266/266,266/266,ok,23202,14.9480,23202,23202,0,1
task219,265/265,265/265,265/265,ok,82452,13.6800,82452,15842765,0,1
task220,267/267,267/267,267/267,ok,900,18.1976,900,900,0,1
task221,267/267,267/267,267/267,ok,55865,14.0693,55865,55865,0,1
task222,266/266,266/266,266/266,ok,58035,14.0312,58035,58035,0,1
task223,265/265,265/265,265/265,ok,1800,17.5045,1800,1800,0,1
task224,266/266,266/266,266/266,ok,45522,14.2740,45522,45522,0,1
task225,265/265,265/265,265/265,ok,11240,15.6728,11240,11240,0,1
task226,133/133,133/133,133/133,ok,5559,16.3768,5559,5559,0,1
task227,267/267,267/267,267/267,ok,2927,17.0183,2927,2927,0,1
task228,266/266,266/266,266/266,ok,25086,14.8699,25086,25086,0,1
task229,267/267,267/267,267/267,ok,1409,17.7494,1409,1409,0,1
task230,266/266,266/266,266/266,ok,900,18.1976,900,900,0,1
task231,266/266,266/266,266/266,ok,38220,14.4489,38220,38220,0,1
task232,266/266,266/266,266/266,ok,29497,14.7080,29497,29497,0,1
task233,266/266,266/266,182/266,ok,1456755,10.8083,1456755,3682865,0,1
task234,266/266,266/266,266/266,ok,81703,13.6892,81703,139937,0,1
task235,69/69,69/69,69/69,ok,1326,17.8101,1326,1326,0,1
task236,267/267,267/267,267/267,ok,641,18.5370,641,722,0,1
task237,266/266,266/266,266/266,ok,14324,15.4303,14324,14324,0,1
task238,266/266,266/266,266/266,ok,64372,13.9276,64372,64372,0,1
task239,267/267,267/267,267/267,ok,96277,13.5250,96277,96277,0,1
task240,266/266,266/266,266/266,ok,47734,14.2266,47734,47734,0,1
task241,266/266,266/266,266/266,ok,0,25.0000,0,0,0,1
task242,266/266,266/266,266/266,ok,20119,15.0906,20119,24430,0,1
task243,265/265,265/265,265/265,ok,108967,13.4012,108967,218713,0,1
task244,266/266,266/266,266/266,ok,32612,14.6076,32612,32612,0,1
task245,267/267,267/267,267/267,ok,29012,14.7245,29012,89261,0,1
task246,266/266,266/266,266/266,ok,13391,15.4977,13391,13391,0,1
task247,269/269,269/269,269/269,ok,22175,14.9933,22175,22175,0,1
task248,13/13,13/13,13/13,ok,7180,16.1209,7180,7180,0,1
task249,265/265,265/265,265/265,ok,8999,15.8951,10499,10499,0,1
task250,265/265,265/265,265/265,ok,13401,15.4969,13401,13401,0,1
task251,266/266,266/266,266/266,ok,101479,13.4724,101479,101479,0,1
task252,266/266,266/266,266/266,ok,38286,14.4472,38286,38286,0,1
task253,265/265,265/265,265/265,ok,48269,14.2155,48269,48269,0,1
task254,265/265,265/265,265/265,ok,7956,16.0183,7956,7956,0,1
task255,265/265,265/265,265/265,ok,42917144,7.4252,42917144,42917144,0,1
task256,266/266,266/266,266/266,ok,21291,15.0340,21291,21291,0,1
task257,269/269,269/269,269/269,ok,1077,18.0181,1077,1077,0,1
task258,266/266,266/266,266/266,ok,160,19.9248,160,160,0,1
task259,266/266,266/266,266/266,ok,6885,16.1629,6885,6885,0,1
task260,266/266,266/266,266/266,ok,12474,15.5686,12474,12474,0,1
task261,265/265,265/265,265/265,ok,200,19.7017,200,200,0,1
task262,11/11,11/11,11/11,ok,3770,16.7652,3770,7433,0,1
task263,267/267,267/267,267/267,ok,8056,16.0058,8056,8056,0,1
task264,265/265,265/265,265/265,ok,139436,13.1546,139436,139436,0,1
task265,266/266,266/266,266/266,ok,39812,14.4081,39812,39812,0,1
task266,20/20,20/20,20/20,ok,910,18.1866,910,910,0,1
task267,264/264,264/264,264/264,ok,1255,17.8651,1255,1255,0,1
task268,266/266,266/266,266/266,ok,22387,14.9838,22387,22387,0,1
task269,266/266,266/266,266/266,ok,8602,15.9402,8602,8602,0,1
task270,266/266,266/266,266/266,ok,28745,14.7338,28745,28745,0,1
task271,267/267,267/267,267/267,ok,28991,14.7253,28991,28991,0,1
task272,267/267,267/267,267/267,ok,910,18.1866,910,910,0,1
task273,266/266,266/266,266/266,ok,6037,16.2943,6037,6037,0,1
task274,269/269,269/269,269/269,ok,8761,15.9219,8761,8761,0,1
task275,266/266,266/266,266/266,ok,83884,13.6628,83884,83884,0,1
task276,266/266,266/266,266/266,ok,10,22.6974,10,10,0,1
task277,266/266,266/266,266/266,ok,14617,15.4101,14617,70600,0,1
task278,265/265,265/265,265/265,ok,34383,14.5547,34383,34383,0,1
task279,266/266,266/266,266/266,ok,27422,14.7809,27422,27422,0,1
task280,267/267,267/267,267/267,ok,90506,13.5868,90506,139246,0,1
task281,266/266,266/266,266/266,ok,89575,13.5972,89575,89575,0,1
task282,265/265,265/265,265/265,ok,900,18.1976,900,900,0,1
task283,265/265,265/265,265/265,ok,910,18.1866,910,910,0,1
task284,266/266,266/266,266/266,ok,102032,13.4670,102032,120032,0,1
task285,265/265,265/265,265/265,ok,402660,12.0942,402660,99576167,0,1
task286,265/265,265/265,265/265,ok,160931,13.0113,160931,160931,0,1
task287,267/267,267/267,267/267,ok,22566,14.9758,22566,22566,0,1
task288,267/267,267/267,267/267,ok,31807,14.6326,31807,31807,0,1
task289,268/268,268/268,268/268,ok,25332,14.8602,25332,25332,0,1
task290,266/266,266/266,266/266,ok,11708,15.6320,11708,110852,0,1
task291,265/265,265/265,265/265,ok,4327,16.6274,4327,4327,0,1
task292,28/28,28/28,28/28,ok,6345,16.2446,6345,6345,0,1
task293,267/267,267/267,267/267,ok,25277,14.8623,25277,25277,0,1
task294,265/265,265/265,265/265,ok,910,18.1866,910,910,0,1
task295,268/268,268/268,268/268,ok,12226,15.5887,12226,12226,0,1
task296,268/268,268/268,268/268,ok,4115,16.6776,4115,4115,0,1
task297,265/265,265/265,265/265,ok,9508,15.8401,9508,9508,0,1
task298,267/267,267/267,267/267,ok,14912,15.3901,14912,14912,0,1
task299,21/21,21/21,21/21,ok,1790,17.5100,1790,1790,0,1
task300,267/267,267/267,267/267,ok,77575,13.7410,77575,77575,0,1
task301,266/266,266/266,266/266,ok,75607,13.7667,75607,75607,0,1
task302,266/266,266/266,266/266,ok,7796,16.0386,7796,21341,0,1
task303,265/265,265/265,265/265,ok,80710,13.7014,80710,80710,0,1
task304,266/266,266/266,266/266,ok,14574,15.4130,14574,14574,0,1
task305,266/266,266/266,266/266,ok,3952,16.7180,3952,3952,0,1
task306,265/265,265/265,265/265,ok,64444,13.9264,64444,89643,0,1
task307,266/266,266/266,266/266,ok,1800,17.5045,1800,1800,0,1
task308,266/266,266/266,266/266,ok,21799,15.0104,21799,49022,0,1
task309,265/265,265/265,265/265,ok,10,22.6974,10,10,0,1
task310,266/266,266/266,266/266,ok,25739,14.8442,25739,58874,0,1
task311,266/266,266/266,266/266,ok,30,21.5988,30,30,0,1
task312,265/265,265/265,265/265,ok,9979,15.7918,9979,9979,0,1
task313,266/266,266/266,266/266,ok,76100,13.7602,76100,76100,0,1
task314,266/266,266/266,266/266,ok,8594,15.9412,8594,8594,0,1
task315,266/266,266/266,266/266,ok,9557,15.8350,9557,13779,0,1
task316,266/266,266/266,266/266,ok,3903,16.7305,3903,51510,0,1
task317,265/265,265/265,265/265,ok,900,18.1976,900,900,0,1
task318,267/267,267/267,267/267,ok,754,18.3746,754,754,0,1
task319,267/267,267/267,267/267,ok,33508,14.5805,33508,26325352,0,1
task320,266/266,266/266,266/266,ok,5190,16.4455,5190,5190,0,1
task321,267/267,267/267,267/267,ok,5511,16.3855,5511,5511,0,1
task322,266/266,266/266,266/266,ok,865,18.2373,865,1047,0,1
task323,172/172,172/172,172/172,ok,4533,16.5809,4533,30073,0,1
task324,266/266,266/266,266/266,ok,48870,14.2031,48870,616421,0,1
task325,266/266,266/266,266/266,ok,43022,14.3305,43022,43022,0,1
task326,266/266,266/266,266/266,ok,166,19.8880,166,166,0,1
task327,265/265,265/265,265/265,ok,7548,16.0710,7548,7548,0,1
task328,267/267,267/267,267/267,ok,67238,13.8840,67238,67238,0,1
task329,266/266,266/266,266/266,ok,10260,15.7640,10260,10260,0,1
task330,266/266,266/266,266/266,ok,59024,14.0143,59024,59024,0,1
task331,265/265,265/265,265/265,ok,910,18.1866,910,910,0,1
task332,267/267,267/267,267/267,ok,8500,15.9522,8500,8500,0,1
task333,265/265,265/265,265/265,ok,24893,14.8777,24893,24893,0,1
task334,271/271,271/271,271/271,ok,609,18.5882,609,937,0,1
task335,266/266,266/266,266/266,ok,49362,14.1931,49362,49362,0,1
task336,31/31,31/31,31/31,ok,6036,16.2945,6036,6036,0,1
task337,266/266,266/266,266/266,ok,10,22.6974,10,10,0,1
task338,267/267,267/267,267/267,ok,46899,14.2442,46899,46899,0,1
task339,266/266,266/266,266/266,ok,884,18.2155,884,884,0,1
task340,266/266,266/266,266/266,ok,67142,13.8854,67142,67142,0,1
task341,266/266,266/266,266/266,ok,18865,15.1549,18865,18865,0,1
task342,266/266,266/266,266/266,ok,12153,15.5947,12153,12153,0,1
task343,266/266,266/266,266/266,ok,28531,14.7413,28531,28531,0,1
task344,266/266,266/266,266/266,ok,2510,17.1720,2510,2510,0,1
task345,264/264,264/264,264/264,ok,11716,15.6313,11716,45155,0,1
task346,267/267,267/267,267/267,ok,9178,15.8754,9178,9178,0,1
task347,269/269,269/269,269/269,ok,1631,17.6031,1631,1631,0,1
task348,265/265,265/265,265/265,ok,7307,16.1034,7307,7307,0,1
task349,267/267,267/267,267/267,ok,146782,13.1033,146782,146782,0,1
task350,267/267,267/267,267/267,ok,19831,15.1050,19831,28729,0,1
task351,265/265,265/265,265/265,ok,35154,14.5325,35154,35154,0,1
task352,266/266,266/266,266/266,ok,6626,16.2012,6626,6626,0,1
task353,271/271,271/271,271/271,ok,5411,16.4038,5411,5411,0,1
task354,266/266,266/266,266/266,ok,17007,15.2586,17007,31151,0,1
task355,267/267,267/267,267/267,ok,11795,15.6246,11795,18292,0,1
task356,266/266,266/266,266/266,ok,5002,16.4824,5002,5002,0,1
task357,13/13,13/13,13/13,ok,7180,16.1209,7180,7180,0,1
task358,265/265,265/265,265/265,ok,112341,13.3707,112341,112341,0,1
task359,266/266,266/266,266/266,ok,42313,14.3472,42313,51176,0,1
task360,266/266,266/266,266/266,ok,11156,15.6803,11156,11156,0,1
task361,266/266,266/266,266/266,ok,16493,15.2893,16493,16493,0,1
task362,267/267,267/267,267/267,ok,12038,15.6042,12038,12038,0,1
task363,265/265,265/265,265/265,ok,87112,13.6251,87112,512771,0,1
task364,266/266,266/266,266/266,ok,76538,13.7545,76538,150853,0,1
task365,266/266,266/266,266/266,ok,59004,14.0146,59004,59004,0,1
task366,255/255,255/255,255/255,ok,830720,11.3700,830720,60083225,0,1
task367,266/266,266/266,266/266,ok,143603,13.1252,143603,923616,0,1
task368,265/265,265/265,265/265,ok,32339,14.6160,32339,32339,0,1
task369,265/265,265/265,265/265,ok,7729,16.0473,7729,7729,0,1
task370,266/266,266/266,266/266,ok,107206,13.4175,107206,354422,0,1
task371,266/266,266/266,266/266,ok,21181,15.0391,21181,21181,0,1
task372,266/266,266/266,266/266,ok,7878,16.0282,7878,11690,0,1
task373,75/75,75/75,75/75,ok,524,18.7385,524,627,0,1
task374,267/267,267/267,267/267,ok,15441,15.3552,15441,52037,0,1
task375,58/58,58/58,58/58,ok,15172,15.3728,15172,15172,0,1
task376,39/39,39/39,39/39,ok,23413,14.9390,23413,40583,0,1
task377,266/266,266/266,266/266,ok,64881,13.9197,64881,64881,0,1
task378,267/267,267/267,267/267,ok,41000,14.3787,41000,41000,0,1
task379,266/266,266/266,266/266,ok,72499,13.8087,72499,72499,0,1
task380,267/267,267/267,267/267,ok,737,18.3974,737,737,0,1
task381,265/265,265/265,265/265,ok,3681,16.7891,3681,42217,0,1
task382,266/266,266/266,266/266,ok,107354,13.4161,107354,194026,0,1
task383,266/266,266/266,266/266,ok,129967,13.2250,129967,129967,0,1
task384,266/266,266/266,266/266,ok,74751,13.7781,74751,74751,0,1
task385,265/265,265/265,265/265,ok,30,21.5988,30,30,0,1
task386,268/268,268/268,268/268,ok,2207,17.3006,2207,2207,0,1
task387,266/266,266/266,266/266,ok,63558,13.9403,63558,576933,0,1
task388,266/266,266/266,266/266,ok,6468,16.2254,6468,10779,0,1
