task_id,source,delta_local_vs_v4,audit_pass_ratio,v4_audit_pass_ratio,audit_perfect,v4_perfect,reason,decision
task051,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task052,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task053,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task054,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task055,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task056,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task057,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task058,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task059,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task060,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task061,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task062,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task063,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task064,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task065,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task066,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task067,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task068,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task069,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task070,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task071,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task072,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task073,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task074,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task075,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task076,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task077,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task078,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task079,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task080,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task081,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task082,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task083,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task084,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task085,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task086,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task087,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task088,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task089,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task090,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task091,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task092,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task093,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task094,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task095,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task096,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task097,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task098,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task099,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task100,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task101,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task102,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task103,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task104,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task105,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task106,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task107,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task108,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task109,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task110,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task111,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task112,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task113,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task114,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task115,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task116,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task117,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task118,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task119,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task120,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task121,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task122,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task123,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task124,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task125,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task126,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task127,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task128,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task129,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task130,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task131,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task132,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task133,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task134,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task135,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task136,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task137,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task138,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task139,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task140,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task141,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task142,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task143,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task144,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task145,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task146,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task147,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task148,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task149,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task150,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task151,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task152,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task153,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task154,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task155,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task156,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task157,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task158,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task159,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task160,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task161,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task162,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task163,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task164,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task165,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task166,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task167,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task168,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task169,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task170,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task171,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task172,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task173,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task174,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task175,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task176,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task177,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task178,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task179,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task180,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task181,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task182,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task183,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task184,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task185,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task186,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task187,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task188,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task189,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task190,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task191,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task192,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task193,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task194,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task195,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task196,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task197,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task198,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task199,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task200,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task201,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task202,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task203,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task204,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task205,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task206,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task207,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task208,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task209,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task210,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task211,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task212,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task213,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task214,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task215,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task216,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task217,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task218,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task219,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task220,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task221,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task222,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task223,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task224,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task225,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task226,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task227,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task228,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task229,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task230,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task231,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task232,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task233,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task234,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task235,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task236,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task237,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task238,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task239,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task240,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task241,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task242,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task243,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task244,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task245,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task246,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task247,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task248,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task249,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task250,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task251,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task252,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task253,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task254,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task255,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task256,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task257,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task258,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task259,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task260,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task261,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task262,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task263,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task264,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task265,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task266,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task267,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task268,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task269,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task270,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task271,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task272,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task273,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task274,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task275,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task276,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task277,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task278,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task279,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task280,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task281,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task282,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task283,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task284,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task285,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task286,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task287,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task288,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task289,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task290,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task291,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task292,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task293,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task294,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task295,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task296,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task297,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task298,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task299,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task300,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task301,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task302,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task303,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task304,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task305,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task306,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task307,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task308,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task309,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task310,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task311,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task312,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task313,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task314,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task315,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task316,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task317,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task318,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task319,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task320,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task321,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task322,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task323,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task324,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task325,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task326,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task327,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task328,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task329,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task330,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task331,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task332,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task333,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task334,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task335,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task336,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task337,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task338,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task339,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task340,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task341,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task342,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task343,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task344,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task345,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task346,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task347,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task348,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task349,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task350,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task351,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task352,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task353,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task354,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task355,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task356,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task357,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task358,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task359,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task360,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task361,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task362,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task363,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task364,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task365,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task366,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task367,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task368,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task369,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task370,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task371,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task372,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task373,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task374,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task375,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task376,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task377,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task378,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task379,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task380,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task381,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task382,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task383,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task384,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task385,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task386,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task387,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task388,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task389,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task390,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task391,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task392,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task393,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task394,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task395,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task396,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task397,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task398,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task399,v4,0.0000,,,1,1,inherit_v4,inherit_v4
task400,v4,0.0000,,,1,1,inherit_v4,inherit_v4
