task_id,chosen,delta,v2_score,chosen_score,v2_cost,chosen_cost
task193,v2,0.0,,,,
task194,v2,0.0,,,,
task195,v2,0.0,,,,
task196,v2,0.0,,,,
task197,v2,0.0,,,,
task198,v2,0.0,,,,
task199,v2,0.0,,,,
task200,sim,+0.001325,15.975267,15.976592,8306,8295
task201,v2,0.0,,,,
task202,v2,0.0,,,,
task203,v2,0.0,,,,
task204,sim,+0.006709,13.307707,13.314416,119646,118846
task205,v2,0.0,,,,
task206,v2,0.0,,,,
task207,v2,0.0,,,,
task208,v2,0.0,,,,
task209,v2,0.0,,,,
task210,v2,0.0,,,,
task211,v2,0.0,,,,
task212,v2,0.0,,,,
task213,int,+0.002153,14.175732,14.177884,50225,50117
task214,v2,0.0,,,,
task215,v2,0.0,,,,
task216,v2,0.0,,,,
task217,v2,0.0,,,,
task218,v2,0.0,,,,
task219,opt,+0.032597,13.647431,13.680028,85184,82452
task220,v2,0.0,,,,
task221,v2,0.0,,,,
task222,v2,0.0,,,,
task223,v2,0.0,,,,
task224,v2,0.0,,,,
task225,v2,0.0,,,,
task226,v2,0.0,,,,
task227,v2,0.0,,,,
task228,v2,0.0,,,,
task229,v2,0.0,,,,
task230,v2,0.0,,,,
task231,v2,0.0,,,,
task232,v2,0.0,,,,
task233,sim,+0.130355,10.677923,10.808278,1659583,1456755
task234,v2,0.0,,,,
task235,v2,0.0,,,,
task236,opt,+0.003115,18.533855,18.536971,643,641
task237,v2,0.0,,,,
task238,v2,0.0,,,,
task239,v2,0.0,,,,
task240,v2,0.0,,,,
task241,v2,0.0,,,,
task242,v2,0.0,,,,
task243,v2,0.0,,,,
task244,int,+0.000378,14.633345,14.633722,31782,31770
task245,opt,+0.000103,14.724432,14.724535,29015,29012
task246,v2,0.0,,,,
task247,v2,0.0,,,,
task248,v2,0.0,,,,
task249,v2,0.0,,,,
task250,v2,0.0,,,,
task251,v2,0.0,,,,
task252,v2,0.0,,,,
task253,v2,0.0,,,,
task254,v2,0.0,,,,
task255,sim,+0.057026,10.661366,10.718392,1687290,1593763
task256,v2,0.0,,,,
task257,v2,0.0,,,,
task258,v2,0.0,,,,
task259,v2,0.0,,,,
task260,v2,0.0,,,,
task261,v2,0.0,,,,
task262,v2,0.0,,,,
task263,v2,0.0,,,,
task264,v2,0.0,,,,
task265,v2,0.0,,,,
task266,v2,0.0,,,,
task267,v2,0.0,,,,
task268,v2,0.0,,,,
task269,v2,0.0,,,,
task270,v2,0.0,,,,
task271,v2,0.0,,,,
task272,v2,0.0,,,,
task273,v2,0.0,,,,
task274,v2,0.0,,,,
task275,v2,0.0,,,,
task276,v2,0.0,,,,
task277,v2,0.0,,,,
task278,v2,0.0,,,,
task279,v2,0.0,,,,
task280,v2,0.0,,,,
task281,v2,0.0,,,,
task282,v2,0.0,,,,
task283,v2,0.0,,,,
task284,v2,0.0,,,,
task285,opt,+0.006693,12.087459,12.094152,405364,402660
task286,v2,0.0,,,,
task287,v2,0.0,,,,
task288,v2,0.0,,,,
task289,v2,0.0,,,,
task290,v2,0.0,,,,
task291,v2,0.0,,,,
task292,v2,0.0,,,,
task293,int,+0.000323,14.882571,14.882894,24771,24763
task294,v2,0.0,,,,
task295,v2,0.0,,,,
task296,v2,0.0,,,,
task297,v2,0.0,,,,
task298,v2,0.0,,,,
task299,v2,0.0,,,,
task300,v2,0.0,,,,
task301,v2,0.0,,,,
task302,v2,0.0,,,,
task303,v2,0.0,,,,
task304,v2,0.0,,,,
task305,v2,0.0,,,,
task306,v2,0.0,,,,
task307,v2,0.0,,,,
task308,v2,0.0,,,,
task309,v2,0.0,,,,
task310,v2,0.0,,,,
task311,v2,0.0,,,,
task312,v2,0.0,,,,
task313,v2,0.0,,,,
task314,v2,0.0,,,,
task315,v2,0.0,,,,
task316,v2,0.0,,,,
task317,v2,0.0,,,,
task318,opt,+0.002710,18.394702,18.397412,739,737
task319,v2,0.0,,,,
task320,v2,0.0,,,,
task321,v2,0.0,,,,
task322,opt,+0.002309,18.234961,18.237270,867,865
task323,v2,0.0,,,,
task324,v2,0.0,,,,
task325,v2,0.0,,,,
task326,v2,0.0,,,,
task327,v2,0.0,,,,
task328,v2,0.0,,,,
task329,v2,0.0,,,,
task330,v2,0.0,,,,
task331,v2,0.0,,,,
task332,v2,0.0,,,,
task333,v2,0.0,,,,
task334,v2,0.0,,,,
task335,v2,0.0,,,,
task336,v2,0.0,,,,
task337,v2,0.0,,,,
task338,v2,0.0,,,,
task339,v2,0.0,,,,
task340,v2,0.0,,,,
task341,v2,0.0,,,,
task342,v2,0.0,,,,
task343,v2,0.0,,,,
task344,v2,0.0,,,,
task345,v2,0.0,,,,
task346,v2,0.0,,,,
task347,opt,+0.001245,17.617876,17.619121,1607,1605
task348,v2,0.0,,,,
task349,opt,+0.000020,14.190656,14.190676,49481,49480
task350,v2,0.0,,,,
task351,v2,0.0,,,,
task352,v2,0.0,,,,
task353,v2,0.0,,,,
task354,v2,0.0,,,,
task355,v2,0.0,,,,
task356,v2,0.0,,,,
task357,v2,0.0,,,,
task358,v2,0.0,,,,
task359,v2,0.0,,,,
task360,v2,0.0,,,,
task361,int,+0.026999,15.324857,15.351856,15917,15493
task362,v2,0.0,,,,
task363,sim,+0.020228,13.604823,13.625050,88892,87112
task364,sim,+0.017112,13.737345,13.754457,77859,76538
task365,v2,0.0,,,,
task366,sim,+0.007388,11.362564,11.369952,836880,830720
task367,v2,0.0,,,,
task368,v2,0.0,,,,
task369,v2,0.0,,,,
task370,opt,+0.000323,13.407367,13.407691,108297,108262
task371,v2,0.0,,,,
task372,opt,+0.000254,16.027917,16.028171,7880,7878
task373,v2,0.0,,,,
task374,sim,+0.019306,15.335912,15.355218,15742,15441
task375,v2,0.0,,,,
task376,v2,0.0,,,,
task377,sim,+0.044581,13.966337,14.010918,61924,59224
task378,v2,0.0,,,,
task379,v2,0.0,,,,
task380,v2,0.0,,,,
task381,v2,0.0,,,,
task382,v2,0.0,,,,
task383,v2,0.0,,,,
task384,v2,0.0,,,,
task385,v2,0.0,,,,
task386,opt,+0.000917,17.311545,17.312461,2183,2181
task387,v2,0.0,,,,
task388,v2,0.0,,,,
task389,v2,0.0,,,,
task390,v2,0.0,,,,
task391,v2,0.0,,,,
task392,v2,0.0,,,,
task393,v2,0.0,,,,
task394,v2,0.0,,,,
task395,v2,0.0,,,,
task396,sim,+0.019017,13.126684,13.145700,143389,140688
task397,v2,0.0,,,,
task398,v2,0.0,,,,
task399,v2,0.0,,,,
task400,v2,0.0,,,,
