split,index,component,anchor_color,payload_color,anchor_shape,observed_tiles,completed_tiles,input_tile_count,output_tile_count,is_template
arc-gen,35,2,6,8,1x1,0:0 0:1 0:2 1:1 1:2,0:0 0:1 0:2 1:1 1:2,5,5,1
arc-gen,35,3,6,3,1x1,0:0 0:1,0:0 0:1 0:2 1:1 1:2,2,5,0
arc-gen,35,4,6,7,2x2,0:0 0:1,0:0 0:1 0:2 1:1 1:2,2,5,0
arc-gen,36,1,4,1,3x3,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,36,2,4,7,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,36,3,4,9,1x1,0:0 1:0,0:0 0:1 1:0 2:0,2,4,0
arc-gen,37,1,9,2,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,37,2,9,3,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,37,3,9,5,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,38,1,5,9,1x1,0:0 1:0,0:0 1:0 1:1 1:2,2,4,0
arc-gen,38,2,5,4,1x1,0:0 1:0 1:1 1:2,0:0 1:0 1:1 1:2,4,4,1
arc-gen,39,1,9,8,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,39,2,9,6,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,39,3,9,2,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,39,4,9,5,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,40,1,1,4,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,40,2,1,5,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,40,3,1,3,3x3,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,40,4,1,2,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,41,1,8,4,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,41,2,8,9,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,41,3,8,6,1x1,0:0 0:1 0:2 1:0 1:1,0:0 0:1 0:2 1:0 1:1,5,5,1
arc-gen,41,4,8,3,1x1,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,42,1,1,4,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,42,2,1,6,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,43,1,4,7,4x4,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,43,2,4,1,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,43,3,4,6,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,43,4,4,3,2x2,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,44,1,3,6,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,44,2,3,4,1x1,0:0 1:0 2:0 2:1,0:0 1:0 2:0 2:1,4,4,1
arc-gen,44,3,3,7,2x2,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,45,1,2,9,2x2,0:0 1:0,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,45,2,2,7,2x2,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,45,3,2,4,1x1,0:0 0:1 1:0 2:0 2:1,0:0 0:1 1:0 2:0 2:1,5,5,1
arc-gen,46,1,1,9,1x1,0:0 1:0 1:1 2:0,0:0 1:0 1:1 2:0,4,4,1
arc-gen,46,2,1,4,1x1,0:0 1:0,0:0 1:0 1:1 2:0,2,4,0
arc-gen,47,1,2,9,1x1,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,47,2,2,8,2x2,0:0 0:1,0:0 0:1 0:2 1:2,2,4,0
arc-gen,47,3,2,5,1x1,0:0 0:1 0:2 1:2,0:0 0:1 0:2 1:2,4,4,1
arc-gen,48,1,5,1,1x1,0:0 1:0 1:1 1:2,0:0 1:0 1:1 1:2,4,4,1
arc-gen,48,2,5,4,1x1,0:0 1:0,0:0 1:0 1:1 1:2,2,4,0
arc-gen,49,1,5,2,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,49,2,5,3,2x2,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,49,3,5,1,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,49,4,5,7,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,50,1,7,3,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,50,2,7,6,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,50,3,7,8,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,50,4,7,4,1x1,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,51,1,3,9,3x3,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,51,2,3,6,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,52,1,8,6,1x1,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,52,2,8,7,1x1,0:0 0:1 0:2 1:0,0:0 0:1 0:2 1:0,4,4,1
arc-gen,52,3,8,9,1x1,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,53,1,1,7,1x1,0:0 1:0,0:0 0:1 1:0 1:1 1:2,2,5,0
arc-gen,53,2,1,3,1x1,0:0 0:1 1:0 1:1 1:2,0:0 0:1 1:0 1:1 1:2,5,5,1
arc-gen,54,1,4,1,3x3,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,54,2,4,2,3x3,0:0 0:1,0:0 0:1 1:0 2:0 2:1,2,5,0
arc-gen,54,3,4,3,1x1,0:0 0:1 1:0 2:0 2:1,0:0 0:1 1:0 2:0 2:1,5,5,1
arc-gen,55,1,9,6,1x1,0:0 0:1 1:0 1:1 1:2,0:0 0:1 1:0 1:1 1:2,5,5,1
arc-gen,55,2,9,3,3x3,0:0 1:0,0:0 0:1 1:0 1:1 1:2,2,5,0
arc-gen,56,1,7,4,1x1,0:0 0:1 1:1 2:1 2:2,0:0 0:1 1:1 2:1 2:2,5,5,1
arc-gen,56,2,7,8,2x2,0:0 0:1,0:0 0:1 1:1 2:1 2:2,2,5,0
arc-gen,56,3,7,6,2x2,0:0 0:1,0:0 0:1 1:1 2:1 2:2,2,5,0
arc-gen,57,1,7,8,1x1,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,57,2,7,3,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,57,3,7,5,1x1,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,57,4,7,4,3x3,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,58,1,9,3,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,58,2,9,7,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,59,1,7,3,1x1,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,59,2,7,9,1x1,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,59,3,7,4,1x1,0:0 0:1 0:2 1:0,0:0 0:1 0:2 1:0,4,4,1
arc-gen,60,1,4,6,1x1,0:0 0:1,0:0 0:1 0:2 1:2 2:2,2,5,0
arc-gen,60,2,4,3,1x1,0:0 0:1 0:2 1:2 2:2,0:0 0:1 0:2 1:2 2:2,5,5,1
arc-gen,61,1,9,7,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,61,2,9,5,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,61,3,9,1,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,61,4,9,8,1x1,0:0 1:0,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,62,1,4,5,3x3,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,62,2,4,6,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,63,1,3,5,1x1,0:0 1:0,0:0 0:1 1:0 1:1 1:2,2,5,0
arc-gen,63,2,3,8,1x1,0:0 1:0,0:0 0:1 1:0 1:1 1:2,2,5,0
arc-gen,63,3,3,4,2x2,0:0 1:0,0:0 0:1 1:0 1:1 1:2,2,5,0
arc-gen,63,4,3,9,1x1,0:0 0:1 1:0 1:1 1:2,0:0 0:1 1:0 1:1 1:2,5,5,1
arc-gen,64,1,5,7,1x1,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,64,2,5,2,1x1,0:0 0:1 1:0 2:0,0:0 0:1 1:0 2:0,4,4,1
arc-gen,64,3,5,6,2x2,0:0 0:1,0:0 0:1 1:0 2:0,2,4,0
arc-gen,65,1,7,6,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,65,2,7,5,1x1,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,66,1,9,1,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,66,2,9,7,2x2,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,66,3,9,5,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,67,1,7,6,4x4,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,67,2,7,5,1x1,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,67,3,7,9,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:2,2,5,0
arc-gen,67,4,7,1,1x1,0:0 0:1 0:2 1:0 1:2,0:0 0:1 0:2 1:0 1:2,5,5,1
arc-gen,68,1,6,8,2x2,0:0 1:0,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,68,2,6,1,1x1,0:0 0:1 1:0 1:1 2:0,0:0 0:1 1:0 1:1 2:0,5,5,1
arc-gen,68,3,6,3,2x2,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,69,1,9,6,1x1,0:0 0:1 1:0 1:1 2:1,0:0 0:1 1:0 1:1 2:1,5,5,1
arc-gen,69,2,9,1,3x3,0:0 0:1,0:0 0:1 1:0 1:1 2:1,2,5,0
arc-gen,70,1,9,8,1x1,0:0 1:0,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,70,2,9,3,1x1,0:0 0:1 0:2 1:0 1:1,0:0 0:1 0:2 1:0 1:1,5,5,1
arc-gen,70,3,9,1,2x2,0:0 1:0,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,70,4,9,2,2x2,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,71,1,5,4,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,71,2,5,1,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,72,1,7,3,2x2,0:0 0:1,0:0 0:1 1:0,2,3,0
arc-gen,72,2,7,1,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,73,1,9,3,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,73,2,9,4,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,74,1,9,2,1x1,0:0 1:0 2:0 2:1,0:0 1:0 2:0 2:1,4,4,1
arc-gen,74,2,9,8,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,74,3,9,5,1x1,0:0 1:0,0:0 1:0 2:0 2:1,2,4,0
arc-gen,75,1,6,8,3x3,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,75,2,6,5,1x1,0:0 0:1 0:2,0:0 0:1 0:2,3,3,1
arc-gen,75,3,6,1,1x1,0:0 0:1,0:0 0:1 0:2,2,3,0
arc-gen,76,1,9,5,2x2,0:0 0:1,0:0 0:1 1:1 1:2,2,4,0
arc-gen,76,2,9,2,2x2,0:0 0:1,0:0 0:1 1:1 1:2,2,4,0
arc-gen,76,3,9,6,3x3,0:0 0:1,0:0 0:1 1:1 1:2,2,4,0
arc-gen,76,4,9,4,1x1,0:0 0:1 1:1 1:2,0:0 0:1 1:1 1:2,4,4,1
arc-gen,77,1,6,5,2x2,0:0 0:1,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,77,2,6,4,1x1,0:0 0:1 1:0 1:1 2:0,0:0 0:1 1:0 1:1 2:0,5,5,1
arc-gen,77,3,6,1,1x1,0:0 1:0,0:0 0:1 1:0 1:1 2:0,2,5,0
arc-gen,78,1,5,6,3x3,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,78,2,5,2,1x1,0:0 0:1 0:2 1:0,0:0 0:1 0:2 1:0,4,4,1
arc-gen,79,1,7,3,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,79,2,7,4,3x3,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,80,1,4,5,4x4,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,80,2,4,1,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,81,1,3,2,1x1,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,81,2,3,8,1x1,0:0 0:1 0:2 1:0 1:1,0:0 0:1 0:2 1:0 1:1,5,5,1
arc-gen,81,3,3,9,1x1,0:0 0:1,0:0 0:1 0:2 1:0 1:1,2,5,0
arc-gen,82,1,4,5,1x1,0:0 1:0,0:0 1:0 1:1,2,3,0
arc-gen,82,2,4,8,1x1,0:0 1:0 1:1,0:0 1:0 1:1,3,3,1
arc-gen,83,1,6,9,2x2,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,83,2,6,8,3x3,0:0 1:0,0:0 1:0 2:0,2,3,0
arc-gen,83,3,6,2,1x1,0:0 1:0 2:0,0:0 1:0 2:0,3,3,1
arc-gen,84,1,9,7,3x3,0:0 1:0,0:0 0:1 1:0 1:1,2,4,0
arc-gen,84,2,9,1,1x1,0:0 0:1,0:0 0:1 1:0 1:1,2,4,0
arc-gen,84,3,9,6,1x1,0:0 0:1 1:0 1:1,0:0 0:1 1:0 1:1,4,4,1
arc-gen,85,1,1,6,2x2,0:0 1:0,0:0 0:1 1:0,2,3,0
arc-gen,85,2,1,9,1x1,0:0 0:1 1:0,0:0 0:1 1:0,3,3,1
arc-gen,86,1,8,2,1x1,0:0 1:0,0:0 0:1 0:2 1:0,2,4,0
arc-gen,86,2,8,6,3x3,0:0 0:1,0:0 0:1 0:2 1:0,2,4,0
arc-gen,86,3,8,1,1x1,0:0 0:1 0:2 1:0,0:0 0:1 0:2 1:0,4,4,1
arc-gen,87,1,2,9,1x1,0:0 0:1 1:1,0:0 0:1 1:1,3,3,1
arc-gen,87,2,2,7,1x1,0:0 0:1,0:0 0:1 1:1,2,3,0
arc-gen,88,1,2,6,1x1,0:0 0:1 0:2 1:1,0:0 0:1 0:2 1:1,4,4,1
