split,index,shape,components,anchor_cells,copied_cells,added_cells,unique_majority,max_body_cells,max_markers
arc-gen,181,25x25,2,5,34,29,1,8,3
arc-gen,182,26x26,3,8,48,40,1,6,3
arc-gen,183,18x18,1,3,12,9,1,4,3
arc-gen,184,26x26,1,2,14,12,1,7,2
arc-gen,185,27x27,3,6,30,24,1,6,2
arc-gen,186,30x30,3,8,42,34,1,6,3
arc-gen,187,29x29,3,7,39,32,1,7,3
arc-gen,188,28x28,2,5,26,21,1,7,3
arc-gen,189,28x28,2,5,27,22,1,6,3
arc-gen,190,29x29,1,3,15,12,1,5,3
arc-gen,191,29x29,3,7,40,33,1,7,3
arc-gen,192,20x20,1,3,12,9,1,4,3
arc-gen,193,20x20,1,2,16,14,1,8,2
arc-gen,194,23x23,3,8,42,34,1,6,3
arc-gen,195,27x27,3,9,54,45,1,7,3
arc-gen,196,30x30,3,8,48,40,1,6,3
arc-gen,197,20x20,1,2,8,6,1,4,2
arc-gen,198,28x28,3,8,46,38,1,6,3
arc-gen,199,30x30,3,8,49,41,1,8,3
arc-gen,200,22x22,1,3,12,9,1,4,3
arc-gen,201,28x28,1,3,12,9,1,4,3
arc-gen,202,26x26,3,7,34,27,1,6,3
arc-gen,203,26x26,2,6,33,27,1,7,3
arc-gen,204,28x28,2,6,39,33,1,8,3
arc-gen,205,23x23,1,2,10,8,1,5,2
arc-gen,206,19x19,1,2,10,8,1,5,2
arc-gen,207,25x25,3,8,39,31,1,6,3
arc-gen,208,29x29,3,8,64,56,1,8,3
arc-gen,209,30x30,3,8,50,42,1,7,3
arc-gen,210,25x25,2,6,39,33,1,8,3
arc-gen,211,24x24,3,8,49,41,1,8,3
arc-gen,212,14x14,1,3,18,15,1,6,3
arc-gen,213,28x28,3,8,47,39,1,7,3
arc-gen,214,30x30,2,6,42,36,1,7,3
arc-gen,215,25x25,2,5,40,35,1,8,3
arc-gen,216,29x29,3,8,47,39,1,7,3
arc-gen,217,28x28,3,9,39,30,1,5,3
arc-gen,218,30x30,2,5,33,28,1,7,3
arc-gen,219,27x27,3,9,69,60,1,8,3
arc-gen,220,25x25,1,3,15,12,1,5,3
arc-gen,221,29x29,3,8,51,43,1,8,3
arc-gen,222,24x24,3,9,36,27,1,4,3
arc-gen,223,30x30,2,6,42,36,1,7,3
arc-gen,224,30x30,2,6,39,33,1,7,3
arc-gen,225,26x26,2,6,36,30,1,7,3
arc-gen,226,14x14,1,3,18,15,1,6,3
arc-gen,227,22x22,1,3,15,12,1,5,3
arc-gen,228,27x27,2,5,31,26,1,7,3
arc-gen,229,28x28,1,2,8,6,1,4,2
arc-gen,230,24x24,3,8,37,29,1,5,3
arc-gen,231,30x30,1,2,12,10,1,6,2
arc-gen,232,15x15,1,3,24,21,1,8,3
arc-gen,233,25x25,1,3,18,15,1,6,3
arc-gen,234,20x20,1,2,16,14,1,8,2
arc-gen,235,24x24,2,5,32,27,1,7,3
arc-gen,236,29x29,2,4,26,22,1,8,2
arc-gen,237,20x20,1,3,21,18,1,7,3
arc-gen,238,26x26,1,3,18,15,1,6,3
arc-gen,239,19x19,3,7,43,36,1,7,3
arc-gen,240,25x25,1,2,12,10,1,6,2
arc-gen,241,20x20,1,3,15,12,1,5,3
arc-gen,242,22x22,3,8,56,48,1,8,3
arc-gen,243,20x20,1,3,24,21,1,8,3
arc-gen,244,30x30,3,9,69,60,1,8,3
arc-gen,245,29x29,2,6,42,36,1,8,3
arc-gen,246,23x23,2,4,20,16,1,6,2
arc-gen,247,26x26,2,5,25,20,1,5,3
arc-gen,248,26x26,3,8,61,53,1,8,3
arc-gen,249,28x28,3,7,36,29,1,8,3
arc-gen,250,26x26,3,8,52,44,1,8,3
arc-gen,251,26x26,2,6,33,27,1,6,3
arc-gen,252,28x28,2,6,27,21,1,5,3
arc-gen,253,12x12,1,3,15,12,1,5,3
arc-gen,254,30x30,2,5,37,32,1,8,3
arc-gen,255,29x29,2,5,24,19,1,6,3
arc-gen,256,29x29,2,6,24,18,1,4,3
arc-gen,257,13x13,1,3,24,21,1,8,3
arc-gen,258,26x26,1,2,12,10,1,6,2
arc-gen,259,24x24,2,5,27,22,1,6,3
arc-gen,260,25x25,3,7,42,35,1,8,3
