task_id,anchor_score,anchor_cost,anchor_memory,anchor_params,anchor_nodes,anchor_file_size,local_pass,local_total,source_label,source_risk,source_matches,known_match_summary,best_seen_score,best_seen_cost,best_seen_attempt,attempt_count,family_primary,family_tags,family_features,shape_profile,public_tail_tags,pseudo_hidden_status,pseudo_hidden_summary,known_prototypes,known_builders,known_reports,next_allowed_action,priority_score
task011,13.898855,66247,63916,2331,52,10170,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.898855,66247,afr1ste_5689_score_n3,76,color_remap,color_remap,"train=4;test=1;shape_preserving,color_subset,color_remap",in 11-11x11-11 -> out 11-11x11-11; pal 7->6,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,16
task012,15.556091,12631,12528,103,14,1906,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,nadeem_6252,15.556091,12631,candidate_nadeem6252_plus_ours_v3_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=2;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 12-12x12-12 -> out 12-12x12-12; pal 5->5,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task013,13.331080,116882,114625,2257,91,18384,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.331080,116882,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=4;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 7-24x8-25 -> out 7-24x8-25; pal 6->6,cost_monster_top30;low_score_bottom30;matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,58
task014,14.427427,39049,38399,650,42,5317,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",14.427427,39049,candidate_nadeem6252_plus_ours_38_score_n3,76,crop,crop,"train=3;test=1;crop,out_smaller,color_subset",in 18-21x17-21 -> out 7-10x6-10; pal 6->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,4
task015,18.197605,900,0,900,1,3774,3,3,biohack44_6113,safe-source,biohack44_6080;biohack44_6113;candidate_v2;massimiliano_eda111;nadeem_6252,"nadeem_6252,biohack44_6113,massimiliano_eda111,biohack44_6080",18.197605,900,afr1ste_5689_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 9-9x9-9 -> out 9-9x9-9; pal 5->7,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
task016,22.697415,10,0,10,1,158,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;konbu17_v36;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,konbu17_v36,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",22.697415,10,afr1ste_5689_score_n3,76,color_fill,color_fill,"train=4;test=1;shape_preserving,color_disjoint,color_fill",in 3-3x3-3 -> out 3-3x3-3; pal 8->8,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task017,14.545246,34709,34525,184,66,8079,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"nadeem_6252,octaviograu_6154,biohack44_super",14.545246,34709,candidate_v4_plus10_compiler2_score_n3,76,color_remap,color_remap,"train=3;test=1;shape_preserving,color_subset,color_remap",in 21-21x21-21 -> out 21-21x21-21; pal 8->7,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,4
task018,11.926438,476185,475190,995,192,29359,0,3,nadeem_6252,public-anchor-candidate,biohack44_super;nadeem_6252;octaviograu_6154,"current_best_6122,candidate_v4,biohack44_6113,biohack44_6067,massimiliano_eda111,octavi_6042,haoranran_6100,biohack44_6080",25.000000,0,candidate_task018_probe_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 14-16x14-18 -> out 14-16x14-18; pal 6->6,public_bottom15;public_big_gap;public_overfit_risk;cost_monster_top30;low_score_bottom30;local_visible_not_full_pass;matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,build_task018_constant.py;build_task018_identity.py,task018_probe_full_audit.csv,Do not cost-only replace; run scorer-decoder or semantic audit before any probe.,158
task019,13.693533,81346,81276,70,32,2566,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",13.693533,81346,candidate_nadeem6252_plus_ours_38_score_n3,76,tiling,tiling,"train=4;test=1;tile,out_larger,color_superset",in 2-5x3-4 -> out 4-10x6-8; pal 5->6,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,7
task020,13.590958,90133,89863,270,245,31378,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.590958,90133,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 6->6,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,17
task021,14.225073,47807,45946,1861,214,30934,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v4,"nadeem_6252,octaviograu_6154,biohack44_super",14.225073,47807,candidate_nadeem6252_plus_ours_v3_score_n3,76,crop,crop,"train=3;test=1;crop,out_smaller,color_subset",in 11-27x11-27 -> out 2-6x2-5; pal 4->2,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,5
task022,14.542024,34821,34628,193,67,5021,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",14.542024,34821,candidate_nadeem6252_plus_ours_38_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,reduce",in 11-11x11-11 -> out 3-3x3-3; pal 9->9,public_slowest,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,4
task023,13.807115,72612,72567,45,374,33067,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",15.009051,21828,blend_v360_score,76,color_fill,color_fill,"train=3;test=1;shape_preserving,color_fill",in 8-9x9-11 -> out 8-9x9-11; pal 2->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,6
task024,15.886171,9080,8820,260,27,3233,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",15.886171,9080,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 9-10x8-11 -> out 9-10x8-11; pal 4->4,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task025,13.149938,140093,140028,65,127,13460,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_super;candidate_v2;candidate_v4;nadeem_6252;octaviograu_6154,"nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super",13.600400,89286,blend_v360_score,76,color_remap,color_remap,"train=3;test=1;shape_preserving,color_subset,color_remap",in 15-18x14-19 -> out 15-18x14-19; pal 6->6,public_bottom15;cost_monster_top30;low_score_bottom30;matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,build_task025.py,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,94
task026,18.415209,724,690,34,13,1309,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",18.415209,724,candidate_v4_plus10_compiler2_score_n3,76,reduce,reduce,"train=5;test=1;out_smaller,reduce",in 5-5x7-7 -> out 5-5x3-3; pal 3->2,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task027,14.486991,36791,29573,7218,25,16205,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6080;biohack44_6113;candidate_v2;candidate_v4;current_best_6122;massimiliano_eda111;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,massimiliano_eda111,afr1ste_5689,biohack44_6080",14.486991,36791,afr1ste_5689_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 10-10x10-10 -> out 10-10x10-10; pal 2->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,4
task028,15.896132,8990,8676,314,13,1867,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;candidate_v2;candidate_v4;current_best_6122;nadeem_6252,"current_best_6122,nadeem_6252,candidate_v4,afr1ste_5689",15.896132,8990,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=2;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 5->5,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task029,13.516328,97117,96947,170,88,13589,3,3,nadeem_6252,public-anchor-candidate,biohack44_super;candidate_v2;nadeem_6252;octaviograu_6154,"nadeem_6252,octaviograu_6154,biohack44_super",13.516328,97117,biohack44_super_score_n3,76,crop,crop,"train=3;test=1;crop,out_smaller,color_subset",in 13-23x16-21 -> out 5-8x3-10; pal 9->8,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,17
task030,15.772409,10174,10004,170,64,7091,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v4,nadeem_6252,15.772409,10174,candidate_nadeem6252_plus_ours_v3_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 5-10x10-10 -> out 5-10x10-10; pal 4->4,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task031,15.168223,18616,18558,58,26,3417,3,3,nadeem_6252,public-anchor-candidate,biohack44_super;candidate_v2;nadeem_6252;octaviograu_6154,"nadeem_6252,octaviograu_6154,biohack44_super",15.168223,18616,biohack44_super_score_n3,76,crop,crop,"train=3;test=1;crop,out_smaller,color_subset,color_superset,color_same",in 10-12x12-12 -> out 3-5x3-5; pal 4->4,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,12
task032,16.867000,3405,3336,69,19,2347,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",16.867000,3405,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 4-6x4-6 -> out 4-6x4-6; pal 9->9,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task033,14.081989,55161,55112,49,16,1510,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",14.081989,55161,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 17-17x17-17 -> out 17-17x17-17; pal 5->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,15
task034,13.421324,106796,103949,2847,87,11293,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,biohack44_super,biohack44_6080",13.425829,106316,afr1ste_5689_score_n3,76,color_remap,color_remap,"train=4;test=1;shape_preserving,color_subset,color_remap",in 9-9x9-9 -> out 9-9x9-9; pal 6->5,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,18
task035,15.360283,15363,15312,51,38,3707,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4,afr1ste_5689",15.360283,15363,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 9->9,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,1
task036,13.710918,79944,79832,112,56,5484,3,3,v4_plus10_compiler2_unique,lb-verified-current-anchor,,nadeem_6252,13.710918,79944,candidate_v4_plus10_compiler2_score_n3,76,crop,crop,"train=2;test=1;crop,out_smaller,color_subset",in 30-30x30-30 -> out 3-5x3-3; pal 6->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,7
task037,13.937652,63726,55400,8326,27,20424,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",13.937652,63726,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 8->8,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,16
task038,17.306974,2193,2116,77,16,2357,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;biohack44_6067;biohack44_6080;biohack44_6113;biohack44_super;candidate_v2;candidate_v4;current_best_6122;haoranran_6100;massimiliano_eda111;nadeem_6252;octavi_6042;octaviograu_6154,"current_best_6122,nadeem_6252,candidate_v4,biohack44_6113,biohack44_6067,octaviograu_6154,massimiliano_eda111,octavi_6042,haoranran_6100,afr1ste_5689,biohack44_super,biohack44_6080",17.306974,2193,afr1ste_5689_score_n3,76,reduce,reduce,"train=3;test=1;out_smaller,color_subset,reduce",in 9-9x9-9 -> out 1-1x5-5; pal 3->2,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task039,16.041717,7772,7744,28,14,1913,3,3,nadeem_6252,public-anchor-candidate,biohack44_super;candidate_v2;nadeem_6252;octaviograu_6154,"nadeem_6252,octaviograu_6154,biohack44_super",16.041717,7772,biohack44_super_score_n3,76,crop,crop,"train=2;test=1;crop,out_smaller,color_subset,color_superset,color_same",in 10-10x10-10 -> out 3-3x3-3; pal 9->9,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task040,16.029441,7868,7806,62,36,4167,3,3,candidate_v4,lb-verified-v4-anchor,biohack44_super;candidate_v2;candidate_v4;nadeem_6252;octaviograu_6154,"nadeem_6252,candidate_v4,octaviograu_6154,biohack44_super",16.029441,7868,biohack44_super_score_n3,76,color_remap,color_remap,"train=3;test=1;shape_preserving,color_subset,color_remap",in 10-10x10-10 -> out 10-10x10-10; pal 8->7,matches_cherrypick_unsafe_public,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Require semantic proof and pseudo-hidden audit; no raw public-source swap.,10
task041,15.626776,11769,11740,29,20,2110,3,3,candidate_v4,lb-verified-v4-anchor,afr1ste_5689;candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4,afr1ste_5689",15.626776,11769,afr1ste_5689_score_n3,76,symmetry/flip/rotate,symmetry/flip/rotate,"train=3;test=1;shape_preserving,color_subset,color_superset,color_same,symmetry_candidate",in 10-10x10-10 -> out 10-10x10-10; pal 6->6,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Route to family DSL/compiler search; record any exact rule.,0
task042,15.950063,8518,7790,728,52,8543,3,3,candidate_v4,lb-verified-v4-anchor,candidate_v2;candidate_v4;nadeem_6252,"nadeem_6252,candidate_v4",15.950063,8518,candidate_nadeem6252_plus_ours_38_score_n3,76,other,other,"train=3;test=1;shape_preserving,color_superset",in 10-10x10-10 -> out 10-10x10-10; pal 2->3,,not_run,passed=0 failed=0 skipped=0 total=0 reports=0 counted=0,,,,Defer; revisit through family-level compiler rewrites or new public evidence.,0
