task_id,source,v4plus3_visible_pass,v3_visible_pass,v4plus3_cost,v3_cost,v4plus3_score,v3_score,delta_score,accepted,reject_reason
task259,v3-raw-nadeem,266/266,266/266,6885,6843,16.1629,16.1690,+0.0061,True,
task270,v3-raw-nadeem,266/266,266/266,28745,27301,14.7338,14.7853,+0.0515,True,
task274,v3-raw-nadeem,269/269,269/269,8761,8581,15.9219,15.9427,+0.0208,True,
task279,v3-raw-nadeem,266/266,266/266,27422,26330,14.7809,14.8215,+0.0406,True,
task292,v3-raw-nadeem,28/28,28/28,6345,6305,16.2446,16.2509,+0.0063,True,
task293,v3-lossless(int),267/267,267/267,25277,24763,14.8623,14.8829,+0.0205,True,
task297,v3-raw-nadeem,265/265,265/265,9508,9172,15.8401,15.8761,+0.0360,True,
task300,v3-raw-nadeem,267/267,267/267,77575,77546,13.7410,13.7414,+0.0004,True,
task304,v3-raw-nadeem,266/266,266/266,14574,14494,15.4130,15.4185,+0.0055,True,
task318,v3-lossless(opt),267/267,267/267,754,737,18.3746,18.3974,+0.0228,True,
task326,v3-raw-nadeem,266/266,266/266,166,160,19.8880,19.9248,+0.0368,True,
task335,v3-raw-nadeem,266/266,266/266,49362,46249,14.1931,14.2582,+0.0651,True,
task338,v3-raw-nadeem,267/267,267/267,46899,45016,14.2442,14.2852,+0.0410,True,
task346,v3-raw-nadeem,267/267,267/267,9178,9178,15.8754,15.8754,+0.0000,True,
task347,v3-lossless(opt),269/269,269/269,1631,1605,17.6031,17.6191,+0.0161,True,
task361,v3-lossless(int),266/266,266/266,16493,15493,15.2893,15.3519,+0.0625,True,
task362,v3-raw-nadeem,267/267,267/267,12038,11939,15.6042,15.6124,+0.0083,True,
task365,v3-raw-nadeem,266/266,266/266,59004,58814,14.0146,14.0179,+0.0032,True,
task377,v3-lossless(sim),266/266,266/266,64881,59224,13.9197,14.0109,+0.0912,True,
task378,v3-raw-nadeem,267/267,267/267,41000,39008,14.3787,14.4285,+0.0498,True,
task380,v3-raw-nadeem,267/267,267/267,737,728,18.3974,18.4097,+0.0123,True,
task383,v3-raw-nadeem,266/266,266/266,129967,129068,13.2250,13.2319,+0.0069,True,
task384,v3-raw-nadeem,266/266,266/266,74751,74722,13.7781,13.7785,+0.0004,True,
task386,v3-lossless(opt),268/268,268/268,2207,2181,17.3006,17.3125,+0.0119,True,
task390,v3-raw-nadeem,266/266,266/266,24721,24692,14.8846,14.8858,+0.0012,True,
task397,v3-raw-nadeem,266/266,266/266,21241,21142,15.0363,15.0410,+0.0047,True,
