task_id,n_train,n_test,min_h_in,max_h_in,min_w_in,max_w_in,min_h_out,max_h_out,min_w_out,max_w_out,in_palette_size,out_palette_size,shape_preserving,transposed,tile,crop,trim_border,out_larger,out_smaller,color_subset,color_superset,color_same,color_disjoint,scalar_output,counting,counting_value,symmetry_candidate,color_remap,color_fill,expand,reduce
88,4,1,7,12,7,18,3,4,3,8,6,5,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
89,4,1,13,13,13,13,13,13,13,13,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
90,4,1,2,4,20,30,2,4,20,30,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
91,3,1,9,11,9,13,5,6,5,7,3,3,False,False,False,True,False,False,True,True,True,True,False,False,False,None,False,False,False,False,False
92,2,1,20,30,10,20,20,30,10,20,9,9,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
93,3,1,14,14,14,14,14,14,14,14,5,2,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
94,2,1,15,15,15,15,15,15,15,15,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
95,2,1,9,9,9,9,9,9,9,9,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
96,3,1,13,18,17,18,7,11,7,11,8,8,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
97,4,1,11,17,9,19,11,17,9,19,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
98,3,1,8,18,7,16,8,18,7,16,8,8,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
99,3,1,10,10,10,10,10,10,10,10,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
100,3,1,10,10,10,10,2,2,2,2,6,3,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
101,3,1,14,14,12,12,14,14,12,12,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
102,4,1,12,12,12,12,12,12,12,12,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
103,6,2,3,3,3,3,1,1,1,1,2,2,False,False,False,False,True,False,True,False,False,False,True,True,False,1,False,False,False,False,True
104,2,1,3,3,3,3,9,9,9,9,3,2,False,False,True,False,False,True,False,True,False,False,False,False,False,None,False,False,False,False,False
105,3,1,9,13,13,13,9,13,13,13,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
106,3,1,2,3,2,3,4,6,4,6,5,5,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
107,3,1,5,5,5,5,10,20,10,20,8,9,False,False,True,False,False,True,False,False,True,False,False,False,False,None,False,False,False,False,False
108,3,1,10,10,10,10,20,20,20,20,6,6,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
109,3,1,7,11,7,11,6,10,6,10,6,4,False,False,False,False,True,False,True,True,False,False,False,False,False,None,False,False,False,False,True
110,3,1,29,29,29,29,29,29,29,29,9,8,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
111,3,1,10,10,10,10,3,3,3,3,5,4,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
112,3,1,10,20,10,30,10,20,10,30,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
113,2,1,10,10,3,5,10,10,3,5,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
114,3,1,2,3,2,3,4,5,4,5,6,6,False,False,False,False,False,True,False,False,True,False,False,False,False,None,False,False,False,True,False
115,3,1,9,14,7,16,1,4,1,3,6,6,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
116,4,1,3,3,4,4,6,6,4,4,5,5,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
117,3,1,12,14,12,14,12,14,12,14,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
118,4,1,11,20,12,22,11,20,12,22,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
119,3,1,12,12,12,12,12,12,12,12,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
120,3,1,12,13,11,15,12,13,11,15,4,5,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
121,3,1,13,13,13,13,3,3,3,3,7,4,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
122,3,1,7,13,7,13,7,13,7,13,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
123,3,1,5,5,5,5,10,10,10,10,6,5,False,False,True,False,False,True,False,True,False,False,False,False,False,None,False,False,False,False,False
124,3,2,5,8,10,10,10,10,10,10,4,4,False,False,False,False,False,True,False,True,True,True,False,False,False,None,False,False,False,True,False
125,2,1,15,15,15,15,15,15,15,15,2,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
126,3,1,5,8,5,8,5,8,5,8,4,5,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
127,4,1,3,7,11,11,3,7,11,11,6,5,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
128,3,1,15,15,15,15,15,15,15,15,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
130,2,1,9,9,9,9,3,3,3,3,8,7,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
131,3,1,4,17,5,16,4,17,5,16,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
132,4,1,6,10,8,11,6,10,8,11,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
133,4,1,15,17,12,18,15,17,12,18,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
134,3,1,20,24,23,24,3,3,3,3,7,4,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
135,4,1,9,9,9,9,3,3,3,3,10,9,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
136,3,1,10,10,10,10,10,10,10,10,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
137,3,1,23,23,23,23,23,23,23,23,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
138,3,1,12,22,12,22,6,15,8,12,7,7,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
139,2,1,9,9,9,9,9,9,9,9,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
141,3,1,7,15,7,15,7,15,7,15,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
142,3,1,3,3,3,3,6,6,6,6,4,4,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
143,3,1,10,10,10,10,10,10,10,10,9,8,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
144,4,1,9,9,4,4,4,4,4,4,4,2,False,False,False,False,False,False,True,False,False,False,False,False,False,None,False,False,False,False,True
145,4,1,11,18,13,16,11,18,13,16,2,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
146,4,1,9,9,3,3,3,3,3,3,9,5,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
147,4,1,3,5,3,6,3,5,3,6,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
148,3,1,19,20,8,10,19,20,8,10,3,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
149,4,1,11,11,11,11,3,3,3,3,3,2,False,False,False,False,False,False,True,False,False,False,False,False,False,None,False,False,False,False,True
151,3,1,4,8,4,8,4,8,4,8,7,8,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
152,4,1,3,3,3,3,6,6,6,6,8,8,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
153,3,1,10,10,10,10,3,3,3,3,6,5,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
154,3,1,15,15,15,15,15,15,15,15,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
156,2,1,10,10,10,10,10,10,10,10,2,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
157,2,1,10,10,15,15,10,10,15,15,3,3,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
158,3,1,20,21,19,22,20,21,19,22,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
159,3,1,18,21,21,24,5,11,5,11,5,5,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
160,2,1,10,10,10,10,10,10,10,10,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
161,3,1,11,15,17,22,11,15,17,22,7,4,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
162,3,1,20,20,20,20,20,20,20,20,4,5,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
163,4,1,11,11,11,11,11,11,11,11,10,9,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
164,4,1,3,3,3,3,3,3,6,6,3,3,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
165,3,1,20,20,20,20,20,20,20,20,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
166,3,1,7,14,8,10,7,14,8,10,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
167,5,1,3,3,3,3,3,3,3,3,3,2,True,False,False,False,False,False,False,False,False,False,True,False,False,None,False,False,True,False,False
168,2,1,10,10,10,10,10,10,10,10,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
169,3,1,10,10,10,10,10,10,10,10,2,4,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
170,3,1,22,27,21,25,3,4,3,4,10,10,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
171,4,1,3,5,3,6,3,5,3,6,1,2,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
172,4,1,3,3,3,3,6,6,3,3,8,8,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
173,3,1,13,14,12,22,13,14,12,22,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
174,3,1,10,10,10,10,2,2,2,4,8,4,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
175,3,1,21,21,21,21,21,21,21,21,9,8,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
176,3,1,3,3,10,18,3,3,10,18,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
177,3,1,10,15,15,17,4,5,5,8,7,6,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
178,5,1,3,6,2,5,1,4,1,4,6,6,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
180,5,1,8,8,8,8,4,4,4,4,5,5,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
181,3,1,6,6,9,9,6,6,9,9,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
182,4,1,20,20,20,20,20,20,20,20,5,5,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
183,3,1,6,8,6,8,2,4,2,4,9,7,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
184,3,1,18,23,17,22,2,3,2,3,8,7,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
185,4,1,27,29,27,29,3,3,3,3,7,6,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
186,10,2,3,3,3,3,3,3,3,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
187,3,1,22,24,21,25,22,24,21,25,4,5,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
188,3,1,3,6,2,8,3,4,2,4,6,6,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
189,3,1,9,9,9,9,6,6,6,6,8,6,False,False,False,False,True,False,True,True,False,False,False,False,False,None,False,False,False,False,True
190,3,1,10,10,10,10,10,10,10,10,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
191,4,1,23,23,23,23,23,23,23,23,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
192,2,1,13,13,14,16,13,13,14,16,5,3,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
193,3,1,7,17,7,17,7,17,7,17,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
194,3,1,3,3,3,3,6,6,6,6,6,6,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
195,3,1,16,16,18,18,9,9,9,9,2,2,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
196,3,1,9,15,9,15,9,15,9,15,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
197,4,1,6,12,8,8,6,12,8,8,8,8,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
198,3,1,19,29,19,29,19,29,19,29,4,5,True,False,False,False,False,False,False,False,False,False,False,False,False,None,False,False,True,False,False
199,3,1,3,9,3,9,3,9,3,9,4,5,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
200,3,1,10,10,10,10,10,10,10,10,4,5,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
201,4,1,13,13,13,13,4,7,6,8,7,7,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
202,4,1,13,15,13,19,13,15,13,19,7,7,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
203,4,1,6,12,6,12,6,12,6,12,8,8,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
204,5,1,10,20,10,20,10,20,10,20,2,4,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
205,3,1,16,27,17,23,6,10,6,9,10,4,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
206,3,1,8,10,7,9,8,10,7,9,6,5,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
207,3,1,5,5,5,5,2,2,2,2,4,4,False,False,False,True,False,False,True,True,True,True,False,False,False,None,False,False,False,False,False
208,3,1,21,21,21,21,21,21,21,21,6,6,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
209,3,1,16,17,17,18,7,11,7,14,6,6,False,False,False,False,False,False,True,True,True,True,False,False,False,None,False,False,False,False,True
210,3,1,3,3,3,3,6,6,3,3,2,2,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
211,3,1,3,3,2,2,9,9,4,4,4,4,False,False,True,False,False,True,False,True,True,True,False,False,False,None,False,False,False,False,False
212,2,1,10,10,10,10,10,10,10,10,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
213,3,1,12,18,10,15,3,6,3,6,8,6,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
214,3,1,3,3,11,11,3,3,11,11,9,8,True,False,False,False,False,False,False,True,False,False,False,False,False,None,False,True,False,False,False
215,2,1,10,15,12,19,10,15,12,19,3,3,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
216,3,1,20,20,20,20,5,9,6,17,3,2,False,False,False,True,False,False,True,True,False,False,False,False,False,None,False,False,False,False,False
217,3,1,9,9,9,9,9,9,9,9,4,4,True,False,False,False,False,False,False,True,True,True,False,False,False,None,True,False,False,False,False
218,3,1,21,21,21,21,2,3,2,3,8,7,False,False,False,False,False,False,True,True,False,False,False,False,False,None,False,False,False,False,True
219,3,1,15,15,10,10,15,15,10,10,2,3,True,False,False,False,False,False,False,False,True,False,False,False,False,None,False,False,False,False,False
