split,index,rect_id,r0,r1,c0,c1,axis,area,core_cells_in_rect
arc-gen,20,0,12,13,10,29,h,40,40
arc-gen,20,1,5,29,10,19,v,250,250
arc-gen,21,0,0,29,11,15,v,150,150
arc-gen,22,0,15,15,0,15,h,16,16
arc-gen,22,1,22,23,8,15,h,16,16
arc-gen,22,2,0,29,8,15,v,240,240
arc-gen,23,0,6,13,0,29,h,240,240
arc-gen,23,1,0,13,9,10,v,28,28
arc-gen,23,2,0,13,15,15,v,14,14
arc-gen,24,0,13,18,5,29,h,150,150
arc-gen,25,0,10,14,0,29,h,150,150
arc-gen,25,1,10,29,22,22,v,20,20
arc-gen,26,0,16,22,5,29,h,175,175
arc-gen,26,1,0,22,13,14,v,46,46
arc-gen,26,2,0,22,29,29,v,23,23
arc-gen,27,0,10,13,5,29,h,100,100
arc-gen,27,1,10,29,24,25,v,40,40
arc-gen,28,0,9,15,0,29,h,210,210
arc-gen,28,1,9,29,7,7,v,21,21
arc-gen,29,0,17,21,0,29,h,150,150
arc-gen,29,1,0,21,20,21,v,44,44
arc-gen,30,0,6,11,0,29,h,180,180
arc-gen,30,1,6,29,23,23,v,24,24
arc-gen,31,0,7,7,11,29,h,19,19
arc-gen,31,1,20,21,11,29,h,38,38
arc-gen,31,2,0,29,11,16,v,180,180
arc-gen,32,0,6,6,0,14,h,15,15
arc-gen,32,1,13,14,0,14,h,30,30
arc-gen,32,2,22,22,11,29,h,19,19
arc-gen,32,3,0,29,11,14,v,120,120
arc-gen,33,0,14,20,0,29,h,210,210
arc-gen,33,1,0,20,8,8,v,21,21
arc-gen,33,2,0,20,19,19,v,21,21
arc-gen,34,0,9,10,0,29,h,60,60
arc-gen,34,1,16,16,0,13,h,14,14
arc-gen,34,2,22,23,6,29,h,48,48
arc-gen,34,3,0,29,6,13,v,240,240
arc-gen,35,0,14,21,5,29,h,200,200
arc-gen,35,1,14,29,14,14,v,16,16
arc-gen,35,2,14,29,21,21,v,16,16
arc-gen,36,0,20,21,6,29,h,48,48
arc-gen,36,1,0,29,6,10,v,150,150
arc-gen,37,0,8,11,5,29,h,100,100
arc-gen,37,1,8,29,25,25,v,22,22
arc-gen,38,0,7,12,0,29,h,180,180
arc-gen,38,1,7,29,18,18,v,23,23
arc-gen,39,0,8,8,8,29,h,22,22
arc-gen,39,1,15,16,0,13,h,28,28
arc-gen,39,2,22,23,0,13,h,28,28
arc-gen,39,3,0,29,8,13,v,180,180
arc-gen,40,0,0,29,6,12,v,210,210
arc-gen,41,0,12,19,5,29,h,200,200
arc-gen,41,1,12,29,15,22,v,144,144
arc-gen,42,0,17,22,5,29,h,150,150
arc-gen,42,1,0,22,11,11,v,23,23
arc-gen,43,0,7,8,7,29,h,46,46
arc-gen,43,1,0,29,7,11,v,150,150
arc-gen,44,0,12,19,0,19,h,160,160
arc-gen,44,1,22,23,11,29,h,38,38
arc-gen,44,2,0,29,11,19,v,270,270
arc-gen,45,0,7,7,11,29,h,19,19
arc-gen,45,1,0,29,11,15,v,150,150
arc-gen,46,0,16,24,0,14,h,135,135
arc-gen,46,1,5,29,8,14,v,175,175
arc-gen,47,0,8,17,0,17,h,180,180
arc-gen,47,1,20,21,10,29,h,40,40
arc-gen,47,2,0,29,10,17,v,240,240
arc-gen,48,0,2,2,7,29,h,23,23
arc-gen,48,1,16,16,7,29,h,23,23
arc-gen,48,2,0,24,7,10,v,100,100
arc-gen,49,0,8,11,0,29,h,120,120
arc-gen,49,1,8,29,8,8,v,22,22
arc-gen,49,2,8,29,24,24,v,22,22
arc-gen,50,0,7,8,11,29,h,38,38
arc-gen,50,1,11,18,0,15,h,128,128
arc-gen,50,2,0,29,11,15,v,150,150
arc-gen,51,0,16,21,0,29,h,180,180
arc-gen,51,1,0,21,7,8,v,44,44
arc-gen,51,2,16,29,10,21,v,168,168
arc-gen,51,3,0,21,24,25,v,44,44
arc-gen,52,0,14,14,0,14,h,15,15
arc-gen,52,1,21,21,0,14,h,15,15
arc-gen,52,2,0,29,11,14,v,120,120
arc-gen,53,0,6,11,0,29,h,180,180
arc-gen,53,1,0,29,8,8,v,30,30
arc-gen,53,2,6,29,20,21,v,48,48
arc-gen,54,0,16,23,5,29,h,200,200
arc-gen,54,1,16,29,13,13,v,14,14
arc-gen,54,2,16,29,19,19,v,14,14
arc-gen,55,0,18,23,0,29,h,180,180
arc-gen,56,0,14,15,0,13,h,28,28
arc-gen,56,1,21,22,8,29,h,44,44
arc-gen,56,2,0,29,8,13,v,180,180
arc-gen,57,0,0,29,6,13,v,240,240
arc-gen,58,0,9,10,9,29,h,42,42
arc-gen,58,1,20,21,9,29,h,42,42
arc-gen,58,2,0,29,9,12,v,120,120
arc-gen,59,0,9,9,0,16,h,17,17
arc-gen,59,1,18,18,0,16,h,17,17
arc-gen,59,2,0,29,11,16,v,180,180
arc-gen,60,0,24,24,9,29,h,21,21
arc-gen,60,1,0,29,9,18,v,300,300
arc-gen,61,0,15,19,0,29,h,150,150
arc-gen,61,1,0,19,7,8,v,40,40
arc-gen,62,0,12,20,0,29,h,270,270
arc-gen,62,1,12,29,12,21,v,180,180
arc-gen,63,0,17,22,0,29,h,180,180
arc-gen,63,1,0,29,9,9,v,30,30
arc-gen,63,2,0,22,24,24,v,23,23
arc-gen,64,0,7,10,0,29,h,120,120
arc-gen,65,0,7,15,0,29,h,270,270
arc-gen,65,1,7,29,9,10,v,46,46
arc-gen,65,2,7,29,24,24,v,23,23
arc-gen,66,0,15,19,0,29,h,150,150
arc-gen,66,1,15,29,9,16,v,120,120
arc-gen,67,0,8,9,7,29,h,46,46
arc-gen,67,1,0,29,7,11,v,150,150
arc-gen,68,0,6,9,0,29,h,120,120
arc-gen,68,1,6,29,8,8,v,24,24
arc-gen,68,2,6,29,20,21,v,48,48
arc-gen,69,0,9,10,9,29,h,42,42
arc-gen,69,1,12,13,0,17,h,36,36
arc-gen,69,2,20,20,0,17,h,18,18
arc-gen,69,3,0,29,9,17,v,270,270
arc-gen,70,0,4,5,11,29,h,38,38
arc-gen,70,1,0,24,11,17,v,175,175
arc-gen,71,0,8,12,0,29,h,150,150
arc-gen,72,0,14,15,6,29,h,48,48
arc-gen,72,1,0,24,6,12,v,175,175
arc-gen,73,0,14,21,0,15,h,128,128
arc-gen,73,1,0,29,9,15,v,210,210
arc-gen,74,0,9,18,5,29,h,250,250
arc-gen,74,1,0,18,12,20,v,171,171
arc-gen,74,2,9,29,28,29,v,42,42
arc-gen,75,0,5,6,10,29,h,40,40
arc-gen,75,1,0,24,10,13,v,100,100
arc-gen,76,0,17,21,0,29,h,150,150
arc-gen,76,1,17,29,13,13,v,13,13
arc-gen,77,0,10,16,0,29,h,210,210
arc-gen,78,0,6,7,8,29,h,44,44
arc-gen,78,1,15,15,0,13,h,14,14
arc-gen,78,2,22,23,7,29,h,46,46
arc-gen,78,3,0,29,8,13,v,180,180
arc-gen,79,0,14,19,0,29,h,180,180
arc-gen,79,1,14,29,6,15,v,160,160
arc-gen,80,0,13,20,0,29,h,240,240
arc-gen,81,0,7,7,6,29,h,24,24
arc-gen,81,1,18,19,6,29,h,48,48
arc-gen,81,2,0,29,6,12,v,210,210
arc-gen,82,0,15,16,7,29,h,46,46
arc-gen,82,1,0,24,7,11,v,125,125
arc-gen,83,0,8,11,5,29,h,100,100
arc-gen,84,0,16,22,5,29,h,175,175
arc-gen,84,1,16,29,12,13,v,28,28
arc-gen,84,2,16,29,18,18,v,14,14
arc-gen,84,3,0,22,24,25,v,46,46
arc-gen,85,0,15,22,0,29,h,240,240
arc-gen,86,0,15,23,0,29,h,270,270
arc-gen,86,1,15,29,12,22,v,165,165
arc-gen,87,0,16,21,5,29,h,150,150
arc-gen,87,1,16,29,12,12,v,14,14
arc-gen,87,2,16,29,19,20,v,28,28
arc-gen,88,0,13,18,0,29,h,180,180
arc-gen,88,1,0,18,9,9,v,19,19
arc-gen,88,2,0,18,19,19,v,19,19
arc-gen,89,0,15,22,0,14,h,120,120
arc-gen,89,1,28,29,10,29,h,40,40
arc-gen,89,2,5,29,10,14,v,125,125
arc-gen,90,0,6,13,0,29,h,240,240
arc-gen,90,1,0,13,9,10,v,28,28
arc-gen,90,2,0,13,17,17,v,14,14
arc-gen,91,0,19,20,10,29,h,40,40
arc-gen,91,1,0,29,10,14,v,150,150
arc-gen,92,0,12,18,5,29,h,175,175
arc-gen,93,0,14,20,0,29,h,210,210
arc-gen,94,0,13,13,0,18,h,19,19
arc-gen,94,1,20,21,0,29,h,60,60
arc-gen,94,2,0,29,10,18,v,270,270
arc-gen,95,0,0,29,9,12,v,120,120
arc-gen,96,0,6,6,8,29,h,22,22
arc-gen,96,1,24,24,8,29,h,22,22
arc-gen,96,2,0,29,8,15,v,240,240
arc-gen,97,0,15,18,0,29,h,120,120
arc-gen,97,1,15,29,7,8,v,30,30
arc-gen,97,2,15,29,16,17,v,30,30
arc-gen,97,3,0,18,21,22,v,38,38
arc-gen,98,0,12,19,0,17,h,144,144
arc-gen,98,1,0,29,11,17,v,210,210
arc-gen,99,0,6,6,8,29,h,22,22
arc-gen,99,1,22,22,8,29,h,22,22
arc-gen,99,2,0,29,8,12,v,150,150
arc-gen,100,0,11,16,0,29,h,180,180
arc-gen,100,1,11,29,19,20,v,38,38
arc-gen,101,0,8,13,0,29,h,180,180
arc-gen,101,1,8,29,7,7,v,22,22
arc-gen,101,2,0,13,9,9,v,14,14
arc-gen,101,3,0,13,16,17,v,28,28
arc-gen,102,0,6,10,5,29,h,125,125
arc-gen,102,1,6,29,14,14,v,24,24
arc-gen,102,2,6,29,23,24,v,48,48
arc-gen,103,0,7,13,0,29,h,210,210
arc-gen,103,1,0,13,10,18,v,126,126
arc-gen,104,0,5,6,11,29,h,38,38
arc-gen,104,1,0,29,11,17,v,210,210
arc-gen,105,0,0,29,8,11,v,120,120
arc-gen,106,0,0,29,8,16,v,270,270
arc-gen,107,0,21,22,8,29,h,44,44
arc-gen,107,1,0,29,8,11,v,120,120
arc-gen,108,0,19,22,0,29,h,120,120
arc-gen,108,1,0,22,6,6,v,23,23
arc-gen,109,0,9,17,0,20,h,189,189
arc-gen,109,1,24,25,11,29,h,38,38
arc-gen,109,2,0,29,11,20,v,300,300
arc-gen,110,0,0,1,7,29,h,46,46
arc-gen,110,1,16,16,7,29,h,23,23
arc-gen,110,2,0,24,7,16,v,250,250
arc-gen,111,0,16,23,0,13,h,112,112
arc-gen,111,1,0,29,9,13,v,150,150
arc-gen,112,0,15,18,0,29,h,120,120
arc-gen,112,1,15,29,6,6,v,15,15
arc-gen,112,2,15,29,14,14,v,15,15
arc-gen,112,3,0,18,18,19,v,38,38
arc-gen,113,0,6,11,0,29,h,180,180
arc-gen,113,1,6,29,9,9,v,24,24
arc-gen,114,0,20,23,0,29,h,120,120
arc-gen,114,1,0,23,6,6,v,24,24
arc-gen,115,0,6,6,8,29,h,22,22
arc-gen,115,1,0,29,8,12,v,150,150
arc-gen,116,0,10,14,5,29,h,125,125
arc-gen,116,1,0,14,17,26,v,150,150
arc-gen,116,2,10,29,28,29,v,40,40
arc-gen,117,0,10,14,5,29,h,125,125
arc-gen,117,1,0,14,11,12,v,30,30
arc-gen,117,2,0,14,20,21,v,30,30
arc-gen,117,3,10,29,28,29,v,40,40
arc-gen,118,0,6,6,7,29,h,23,23
arc-gen,118,1,21,21,7,29,h,23,23
arc-gen,118,2,0,29,7,11,v,150,150
arc-gen,119,0,0,29,10,15,v,180,180
arc-gen,120,0,14,14,0,14,h,15,15
arc-gen,120,1,23,23,0,14,h,15,15
arc-gen,120,2,0,29,7,14,v,240,240
arc-gen,121,0,9,15,5,29,h,175,175
arc-gen,121,1,0,15,11,18,v,128,128
arc-gen,122,0,8,15,0,29,h,240,240
arc-gen,122,1,8,15,6,18,v,104,104
arc-gen,122,2,8,29,22,23,v,44,44
arc-gen,123,0,7,8,6,29,h,48,48
arc-gen,123,1,18,18,6,29,h,24,24
arc-gen,123,2,0,29,6,9,v,120,120
arc-gen,124,0,16,23,0,15,h,128,128
arc-gen,124,1,0,29,11,15,v,150,150
arc-gen,125,0,9,17,0,29,h,270,270
arc-gen,125,1,9,29,8,9,v,42,42
arc-gen,125,2,0,17,12,23,v,216,216
arc-gen,126,0,11,19,0,29,h,270,270
arc-gen,126,1,11,29,9,9,v,19,19
arc-gen,127,0,2,3,6,29,h,48,48
arc-gen,127,1,17,18,6,29,h,48,48
arc-gen,127,2,0,24,6,12,v,175,175
arc-gen,128,0,13,19,0,29,h,210,210
arc-gen,129,0,8,13,0,29,h,180,180
arc-gen,129,1,0,13,6,7,v,28,28
arc-gen,129,2,0,13,12,12,v,14,14
arc-gen,129,3,8,29,19,20,v,44,44
arc-gen,130,0,6,18,10,13,h,52,52
arc-gen,130,1,0,29,10,13,v,120,120
arc-gen,131,0,8,11,0,29,h,120,120
arc-gen,131,1,8,29,8,8,v,22,22
arc-gen,132,0,6,10,5,29,h,125,125
arc-gen,132,1,6,29,13,13,v,24,24
arc-gen,132,2,6,29,24,25,v,48,48
arc-gen,133,0,9,18,0,14,h,150,150
arc-gen,133,1,0,24,9,14,v,150,150
arc-gen,134,0,10,11,7,29,h,46,46
arc-gen,134,1,0,29,7,14,v,240,240
arc-gen,135,0,10,16,0,29,h,210,210
arc-gen,135,1,10,29,7,7,v,20,20
arc-gen,135,2,10,29,18,18,v,20,20
arc-gen,136,0,15,22,0,15,h,128,128
arc-gen,136,1,5,29,10,15,v,150,150
arc-gen,137,0,17,22,0,29,h,180,180
arc-gen,137,1,17,29,6,6,v,13,13
arc-gen,138,0,14,20,0,29,h,210,210
arc-gen,138,1,14,29,9,16,v,128,128
arc-gen,139,0,9,14,0,29,h,180,180
arc-gen,139,1,0,14,6,6,v,15,15
arc-gen,139,2,9,29,9,10,v,42,42
arc-gen,139,3,0,14,13,13,v,15,15
arc-gen,140,0,8,9,9,29,h,42,42
arc-gen,140,1,15,15,0,14,h,15,15
arc-gen,140,2,20,21,0,14,h,30,30
arc-gen,140,3,0,29,9,14,v,180,180
arc-gen,141,0,17,20,5,29,h,100,100
arc-gen,142,0,7,10,0,29,h,120,120
arc-gen,142,1,7,29,6,6,v,23,23
arc-gen,142,2,7,29,18,18,v,23,23
arc-gen,143,0,14,22,0,29,h,270,270
arc-gen,143,1,0,29,8,9,v,60,60
arc-gen,143,2,14,29,15,16,v,32,32
arc-gen,144,0,17,20,0,29,h,120,120
arc-gen,144,1,0,20,19,20,v,42,42
arc-gen,145,0,13,20,0,17,h,144,144
arc-gen,145,1,5,29,10,17,v,200,200
arc-gen,146,0,23,23,7,29,h,23,23
arc-gen,146,1,0,29,7,11,v,150,150
arc-gen,147,0,3,4,10,29,h,40,40
arc-gen,147,1,16,16,10,29,h,20,20
arc-gen,147,2,0,24,10,15,v,150,150
arc-gen,148,0,9,14,5,29,h,150,150
arc-gen,148,1,0,14,17,25,v,135,135
arc-gen,149,0,16,20,0,29,h,150,150
arc-gen,150,0,0,29,10,19,v,300,300
arc-gen,151,0,12,20,0,29,h,270,270
arc-gen,151,1,0,20,6,6,v,21,21
arc-gen,151,2,12,29,12,23,v,216,216
arc-gen,152,0,13,19,0,29,h,210,210
arc-gen,152,1,0,19,9,10,v,40,40
arc-gen,153,0,17,20,0,29,h,120,120
arc-gen,154,0,7,15,0,29,h,270,270
arc-gen,155,0,11,14,5,29,h,100,100
arc-gen,155,1,0,14,12,12,v,15,15
arc-gen,155,2,0,14,20,20,v,15,15
arc-gen,155,3,11,29,27,27,v,19,19
arc-gen,156,0,7,7,6,29,h,24,24
arc-gen,156,1,0,29,6,11,v,180,180
arc-gen,157,0,0,29,6,12,v,210,210
arc-gen,158,0,8,12,0,29,h,150,150
arc-gen,158,1,8,29,6,7,v,44,44
arc-gen,158,2,8,29,20,21,v,44,44
arc-gen,159,0,9,16,0,17,h,144,144
arc-gen,159,1,21,22,10,29,h,40,40
arc-gen,159,2,0,29,10,17,v,240,240
arc-gen,160,0,9,16,0,29,h,240,240
arc-gen,160,1,0,16,8,8,v,17,17
arc-gen,160,2,0,16,16,16,v,17,17
arc-gen,160,3,9,29,20,21,v,42,42
arc-gen,161,0,9,17,0,29,h,270,270
arc-gen,161,1,0,17,9,19,v,198,198
arc-gen,162,0,15,20,0,29,h,180,180
arc-gen,162,1,0,20,21,22,v,42,42
arc-gen,163,0,8,12,0,29,h,150,150
arc-gen,163,1,8,29,19,19,v,22,22
arc-gen,164,0,10,10,7,29,h,23,23
arc-gen,164,1,21,22,7,29,h,46,46
arc-gen,164,2,0,29,7,16,v,300,300
arc-gen,165,0,11,11,7,29,h,23,23
arc-gen,165,1,23,24,0,29,h,60,60
arc-gen,165,2,5,29,7,12,v,150,150
arc-gen,166,0,14,21,0,29,h,240,240
arc-gen,166,1,14,29,7,14,v,128,128
arc-gen,167,0,6,14,0,29,h,270,270
arc-gen,167,1,0,14,6,6,v,15,15
arc-gen,167,2,0,14,15,15,v,15,15
arc-gen,167,3,6,29,24,25,v,48,48
arc-gen,168,0,7,17,0,15,h,176,176
arc-gen,168,1,0,24,7,15,v,225,225
arc-gen,169,0,15,21,5,29,h,175,175
arc-gen,169,1,0,21,27,27,v,22,22
arc-gen,170,0,7,11,0,29,h,150,150
arc-gen,171,0,15,19,5,29,h,125,125
arc-gen,171,1,15,29,17,24,v,120,120
arc-gen,172,0,14,14,0,15,h,16,16
arc-gen,172,1,23,23,0,15,h,16,16
arc-gen,172,2,0,29,11,15,v,150,150
arc-gen,173,0,2,3,6,29,h,48,48
arc-gen,173,1,12,13,0,13,h,28,28
arc-gen,173,2,0,24,6,12,v,175,175
arc-gen,174,0,6,7,10,29,h,40,40
arc-gen,174,1,0,29,11,15,v,150,150
arc-gen,175,0,16,21,0,29,h,180,180
arc-gen,176,0,8,8,0,19,h,20,20
arc-gen,176,1,16,17,0,19,h,40,40
arc-gen,176,2,0,29,11,19,v,270,270
arc-gen,177,0,17,20,0,29,h,120,120
arc-gen,177,1,0,20,7,7,v,21,21
arc-gen,177,2,0,20,23,23,v,21,21
arc-gen,178,0,5,6,11,29,h,38,38
arc-gen,178,1,22,23,11,29,h,38,38
arc-gen,178,2,0,29,11,17,v,210,210
arc-gen,179,0,12,19,0,29,h,240,240
arc-gen,179,1,0,19,21,22,v,40,40
arc-gen,180,0,8,17,0,29,h,300,300
arc-gen,180,1,0,17,7,14,v,144,144
arc-gen,181,0,12,12,0,15,h,16,16
arc-gen,181,1,14,14,8,29,h,22,22
arc-gen,181,2,18,18,0,15,h,16,16
arc-gen,181,3,5,29,8,15,v,200,200
arc-gen,182,0,8,13,0,29,h,180,180
arc-gen,182,1,8,29,6,7,v,44,44
arc-gen,182,2,8,29,22,22,v,22,22
arc-gen,183,0,0,24,8,11,v,100,100
arc-gen,184,0,4,5,11,29,h,38,38
arc-gen,184,1,14,15,0,16,h,34,34
arc-gen,184,2,22,22,0,16,h,17,17
arc-gen,184,3,0,29,11,16,v,180,180
arc-gen,185,0,9,9,7,29,h,23,23
arc-gen,185,1,21,21,7,29,h,23,23
arc-gen,185,2,0,29,7,15,v,270,270
arc-gen,186,0,11,19,0,29,h,270,270
arc-gen,186,1,11,29,7,7,v,19,19
arc-gen,186,2,0,19,10,19,v,200,200
arc-gen,186,3,11,29,23,24,v,38,38
arc-gen,187,0,6,6,8,29,h,22,22
arc-gen,187,1,17,17,0,12,h,13,13
arc-gen,187,2,0,29,8,12,v,150,150
arc-gen,188,0,6,11,0,29,h,180,180
arc-gen,188,1,6,29,23,24,v,48,48
arc-gen,189,0,8,10,11,16,h,18,18
arc-gen,189,1,18,19,0,29,h,60,60
arc-gen,189,2,0,29,11,16,v,180,180
arc-gen,190,0,0,29,10,13,v,120,120
arc-gen,191,0,0,29,7,10,v,120,120
arc-gen,192,0,0,29,7,12,v,180,180
arc-gen,193,0,21,22,7,29,h,46,46
arc-gen,193,1,0,29,7,13,v,210,210
arc-gen,194,0,10,15,0,29,h,180,180
arc-gen,195,0,0,29,7,14,v,240,240
arc-gen,196,0,11,17,0,29,h,210,210
arc-gen,197,0,15,23,0,14,h,135,135
arc-gen,197,1,0,29,10,14,v,150,150
arc-gen,198,0,0,29,9,15,v,210,210
arc-gen,199,0,20,20,0,12,h,13,13
arc-gen,199,1,5,29,6,12,v,175,175
arc-gen,200,0,18,23,0,29,h,180,180
arc-gen,201,0,9,12,0,29,h,120,120
arc-gen,201,1,9,29,8,9,v,42,42
arc-gen,202,0,15,15,0,20,h,21,21
arc-gen,202,1,21,22,0,20,h,42,42
arc-gen,202,2,0,29,11,20,v,300,300
arc-gen,203,0,0,24,10,14,v,125,125
arc-gen,204,0,8,16,0,29,h,270,270
arc-gen,204,1,8,29,19,20,v,44,44
arc-gen,205,0,5,5,8,29,h,22,22
arc-gen,205,1,10,18,0,16,h,153,153
arc-gen,205,2,0,24,8,16,v,225,225
arc-gen,206,0,11,18,0,29,h,240,240
arc-gen,206,1,0,18,8,8,v,19,19
arc-gen,206,2,11,29,10,18,v,171,171
arc-gen,206,3,0,18,22,23,v,38,38
arc-gen,207,0,16,20,0,29,h,150,150
arc-gen,207,1,0,21,24,25,v,44,44
arc-gen,208,0,14,15,11,29,h,38,38
arc-gen,208,1,29,29,11,29,h,19,19
arc-gen,208,2,5,29,11,17,v,175,175
arc-gen,209,0,9,9,6,29,h,24,24
arc-gen,209,1,0,29,6,12,v,210,210
arc-gen,210,0,20,23,0,29,h,120,120
arc-gen,211,0,9,9,10,29,h,20,20
arc-gen,211,1,0,29,10,13,v,120,120
arc-gen,212,0,6,7,0,14,h,30,30
arc-gen,212,1,14,15,0,14,h,30,30
arc-gen,212,2,0,29,7,14,v,240,240
arc-gen,213,0,9,18,0,29,h,300,300
arc-gen,213,1,9,29,7,8,v,42,42
arc-gen,213,2,9,29,19,19,v,21,21
arc-gen,214,0,7,13,0,29,h,210,210
arc-gen,214,1,7,29,9,9,v,23,23
arc-gen,215,0,13,22,5,29,h,250,250
arc-gen,216,0,16,23,0,29,h,240,240
arc-gen,216,1,0,23,7,7,v,24,24
arc-gen,216,2,16,29,12,23,v,168,168
arc-gen,217,0,5,29,6,10,v,125,125
arc-gen,218,0,15,18,5,29,h,100,100
arc-gen,218,1,0,18,11,12,v,38,38
arc-gen,218,2,15,29,14,23,v,150,150
arc-gen,219,0,13,20,0,29,h,240,240
arc-gen,219,1,0,20,7,8,v,42,42
arc-gen,219,2,0,20,18,19,v,42,42
arc-gen,220,0,7,8,6,29,h,48,48
arc-gen,220,1,0,29,6,9,v,120,120
arc-gen,221,0,8,8,8,29,h,22,22
arc-gen,221,1,19,19,8,29,h,22,22
arc-gen,221,2,0,29,8,12,v,150,150
arc-gen,222,0,7,8,11,29,h,38,38
arc-gen,222,1,22,22,11,29,h,19,19
arc-gen,222,2,0,29,11,18,v,240,240
arc-gen,223,0,16,23,0,15,h,128,128
arc-gen,223,1,0,29,8,15,v,240,240
arc-gen,224,0,6,14,10,15,h,54,54
arc-gen,224,1,24,25,10,29,h,40,40
arc-gen,224,2,0,29,10,15,v,180,180
arc-gen,225,0,10,14,0,29,h,150,150
arc-gen,225,1,0,14,6,6,v,15,15
arc-gen,225,2,0,14,15,16,v,30,30
arc-gen,225,3,10,29,23,23,v,20,20
arc-gen,226,0,7,13,0,29,h,210,210
arc-gen,226,1,0,13,8,8,v,14,14
arc-gen,226,2,0,13,17,18,v,28,28
arc-gen,226,3,7,29,23,23,v,23,23
arc-gen,227,0,8,15,0,29,h,240,240
arc-gen,228,0,12,12,0,16,h,17,17
arc-gen,228,1,14,15,10,29,h,40,40
arc-gen,228,2,21,22,0,16,h,34,34
arc-gen,228,3,5,29,10,16,v,175,175
arc-gen,229,0,9,10,6,29,h,48,48
arc-gen,229,1,0,29,6,11,v,180,180
arc-gen,230,0,15,23,0,29,h,270,270
arc-gen,230,1,0,23,9,9,v,24,24
arc-gen,230,2,0,23,18,18,v,24,24
arc-gen,231,0,18,22,0,29,h,150,150
arc-gen,231,1,0,22,6,6,v,23,23
arc-gen,231,2,0,22,23,24,v,46,46
arc-gen,232,0,16,24,0,16,h,153,153
arc-gen,232,1,5,29,8,16,v,225,225
arc-gen,233,0,10,19,0,29,h,300,300
arc-gen,233,1,0,19,9,10,v,40,40
arc-gen,234,0,9,9,0,13,h,14,14
arc-gen,234,1,16,17,0,13,h,28,28
arc-gen,234,2,0,29,7,13,v,210,210
arc-gen,235,0,9,16,0,29,h,240,240
arc-gen,235,1,9,29,6,7,v,42,42
arc-gen,235,2,9,29,21,22,v,42,42
arc-gen,236,0,6,6,6,29,h,24,24
arc-gen,236,1,15,16,6,29,h,48,48
arc-gen,236,2,0,24,6,14,v,225,225
arc-gen,237,0,8,12,5,29,h,125,125
arc-gen,237,1,8,29,11,12,v,44,44
arc-gen,238,0,17,23,0,29,h,210,210
arc-gen,238,1,16,29,15,16,v,28,28
arc-gen,239,0,16,22,0,29,h,210,210
arc-gen,239,1,16,29,12,20,v,126,126
arc-gen,239,2,0,22,23,24,v,46,46
arc-gen,240,0,11,18,0,29,h,240,240
arc-gen,240,1,11,29,8,8,v,19,19
arc-gen,240,2,11,29,15,16,v,38,38
