task_id,v4p3_train_pass,v4p3_test_pass,v4p3_argen_pass,v4p3_total_pass_ratio,v4p3_status,v4p3_cost,v4p3_score,v4plus_total_pass_ratio,v4plus_status,v4plus_cost,v4plus_score,risk_label,perfect
task034,4/4,1/1,262/262,267/267,ok,106796,13.4213,267/267,ok,106796,13.4213,ok,1
task035,3/3,1/1,262/262,266/266,ok,15363,15.3603,266/266,ok,15363,15.3603,ok,1
task036,2/2,1/1,262/262,265/265,ok,79991,13.7103,265/265,ok,79991,13.7103,ok,1
task037,3/3,1/1,262/262,266/266,ok,63726,13.9377,266/266,ok,63726,13.9377,ok,1
task038,3/3,1/1,262/262,266/266,ok,2193,17.3070,266/266,ok,2193,17.3070,ok,1
task039,2/2,1/1,261/261,264/264,ok,7832,16.0340,264/264,ok,7832,16.0340,ok,1
task040,3/3,1/1,262/262,266/266,ok,7868,16.0294,266/266,ok,7868,16.0294,ok,1
task041,3/3,1/1,262/262,266/266,ok,11769,15.6268,266/266,ok,11769,15.6268,ok,1
task042,3/3,1/1,262/262,266/266,ok,8518,15.9501,266/266,ok,8518,15.9501,ok,1
task043,3/3,1/1,262/262,266/266,ok,7119,16.1295,266/266,ok,7119,16.1295,ok,1
task044,3/3,1/1,262/262,266/266,ok,43947,14.3093,266/266,ok,43947,14.3093,ok,1
task045,3/3,1/1,261/261,265/265,ok,7782,16.0404,265/265,ok,7782,16.0404,ok,1
task046,4/4,1/1,262/262,267/267,ok,33426,14.5829,267/267,ok,33426,14.5829,ok,1
task047,2/2,1/1,262/262,265/265,ok,3024,16.9857,265/265,ok,3024,16.9857,ok,1
task048,6/6,2/2,262/262,270/270,ok,5605,16.3686,270/270,ok,5605,16.3686,ok,1
task049,5/5,1/1,262/262,268/268,ok,32413,14.6137,268/268,ok,32413,14.6137,ok,1
task050,8/8,1/1,262/262,271/271,ok,9475,15.8436,271/271,ok,9475,15.8436,ok,1
task051,3/3,1/1,261/261,265/265,ok,68437,13.8663,265/265,ok,68437,13.8663,ok,1
task052,4/4,1/1,262/262,267/267,ok,1228,17.8869,267/267,ok,1228,17.8869,ok,1
task053,4/4,2/2,54/54,60/60,ok,30,21.5988,60/60,ok,30,21.5988,ok,1
task054,3/3,1/1,262/262,266/266,ok,150548,13.0780,266/266,ok,150548,13.0780,ok,1
task055,2/2,1/1,260/260,263/263,ok,26490,14.8155,263/263,ok,26490,14.8155,ok,1
task056,7/7,3/3,36/36,46/46,ok,213,19.6387,46/46,ok,213,19.6387,ok,1
task057,3/3,1/1,261/261,265/265,ok,29304,14.7145,265/265,ok,29304,14.7145,ok,1
task058,5/5,1/1,16/16,22/22,ok,16105,15.3131,22/22,ok,16105,15.3131,ok,1
task059,3/3,1/1,262/262,266/266,ok,20411,15.0762,266/266,ok,20411,15.0762,ok,1
task060,2/2,1/1,262/262,265/265,ok,5581,16.3729,265/265,ok,5581,16.3729,ok,1
task061,4/4,1/1,262/262,267/267,ok,18914,15.1523,267/267,ok,18914,15.1523,ok,1
task062,4/4,1/1,262/262,267/267,ok,30609,14.6710,267/267,ok,30609,14.6710,ok,1
task063,3/3,1/1,262/262,266/266,ok,30732,14.6669,266/266,ok,30732,14.6669,ok,1
task064,4/4,1/1,262/262,267/267,ok,114153,13.3547,267/267,ok,114153,13.3547,ok,1
task065,3/3,1/1,262/262,266/266,ok,34777,14.5433,266/266,ok,34777,14.5433,ok,1
task066,3/3,1/1,262/262,266/266,ok,99734,13.4897,266/266,ok,99734,13.4897,ok,1
task067,3/3,1/1,262/262,266/266,ok,315,19.2474,266/266,ok,315,19.2474,ok,1
task068,3/3,1/1,262/262,266/266,ok,12589,15.5594,266/266,ok,12589,15.5594,ok,1
task069,2/2,1/1,261/261,264/264,ok,84370,13.6570,264/264,ok,84370,13.6570,ok,1
task070,3/3,1/1,262/262,266/266,ok,66138,13.9005,266/266,ok,66138,13.9005,ok,1
task071,2/2,1/1,262/262,265/265,ok,129780,13.2264,265/265,ok,129780,13.2264,ok,1
task072,4/4,2/2,262/262,268/268,ok,1338,17.8011,268/268,ok,1338,17.8011,ok,1
task073,3/3,1/1,11/11,15/15,ok,910,18.1866,15/15,ok,910,18.1866,ok,1
task074,4/4,1/1,262/262,267/267,ok,21825,15.0092,267/267,ok,21825,15.0092,ok,1
task075,3/3,1/1,261/261,265/265,ok,28487,14.7428,265/265,ok,28487,14.7428,ok,1
task076,3/3,1/1,262/262,266/266,ok,327041,12.3022,266/266,ok,327041,12.3022,ok,1
task077,3/3,1/1,262/262,266/266,ok,157913,13.0302,266/266,ok,157913,13.0302,ok,1
task078,3/3,1/1,262/262,266/266,ok,11496,15.6502,266/266,ok,11496,15.6502,ok,1
task079,3/3,1/1,262/262,266/266,ok,21383,15.0296,266/266,ok,21383,15.0296,ok,1
task080,3/3,1/1,227/227,231/231,ok,42055,14.3533,231/231,ok,42055,14.3533,ok,1
task081,2/2,1/1,261/261,264/264,ok,2307,17.2563,264/264,ok,2307,17.2563,ok,1
task082,2/2,1/1,262/262,265/265,ok,23479,14.9361,265/265,ok,23479,14.9361,ok,1
task083,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task084,3/3,1/1,171/171,175/175,ok,19513,15.1212,175/175,ok,19513,15.1212,ok,1
task085,2/2,1/1,262/262,265/265,ok,113178,13.3633,265/265,ok,113178,13.3633,ok,1
task086,3/3,1/1,262/262,266/266,ok,24705,14.8852,266/266,ok,24705,14.8852,ok,1
task087,4/4,1/1,261/261,266/266,ok,376,19.0704,266/266,ok,376,19.0704,ok,1
task088,4/4,1/1,262/262,267/267,ok,72766,13.8050,267/267,ok,72766,13.8050,ok,1
task089,4/4,1/1,262/262,267/267,ok,50042,14.1794,267/267,ok,50042,14.1794,ok,1
task090,4/4,1/1,262/262,267/267,ok,63354,13.9435,267/267,ok,63354,13.9435,ok,1
task091,3/3,1/1,262/262,266/266,ok,51495,14.1508,266/266,ok,51495,14.1508,ok,1
task092,2/2,1/1,262/262,265/265,ok,46289,14.2573,265/265,ok,46289,14.2573,ok,1
task093,3/3,1/1,261/261,265/265,ok,15458,15.3541,265/265,ok,15458,15.3541,ok,1
task094,2/2,1/1,262/262,265/265,ok,10453,15.7454,265/265,ok,10453,15.7454,ok,1
task095,2/2,1/1,262/262,265/265,ok,910,18.1866,265/265,ok,910,18.1866,ok,1
task096,3/3,1/1,262/262,266/266,ok,185008,12.8718,266/266,ok,185008,12.8718,ok,1
task097,4/4,1/1,262/262,267/267,ok,55810,14.0703,267/267,ok,55810,14.0703,ok,1
task098,3/3,1/1,262/262,266/266,ok,910,18.1866,266/266,ok,910,18.1866,ok,1
task099,3/3,1/1,261/261,265/265,ok,4910,16.5010,265/265,ok,4910,16.5010,ok,1
task100,3/3,1/1,262/262,266/266,ok,7076,16.1355,266/266,ok,7076,16.1355,ok,1
task101,3/3,1/1,262/262,266/266,ok,374431,12.1668,266/266,ok,374431,12.1668,ok,1
task102,4/4,1/1,262/262,267/267,ok,12607,15.5580,267/267,ok,12607,15.5580,ok,1
task103,6/6,2/2,215/215,223/223,ok,189,19.7583,223/223,ok,189,19.7583,ok,1
task104,2/2,1/1,4/4,7/7,ok,3762,16.7673,7/7,ok,3762,16.7673,ok,1
task105,3/3,1/1,262/262,266/266,ok,7055,16.1385,266/266,ok,7055,16.1385,ok,1
task106,3/3,1/1,262/262,266/266,ok,1164,17.9404,266/266,ok,1164,17.9404,ok,1
task107,3/3,1/1,262/262,266/266,ok,72651,13.8066,266/266,ok,72651,13.8066,ok,1
task108,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task109,3/3,1/1,262/262,266/266,ok,94651,13.5420,266/266,ok,94651,13.5420,ok,1
task110,3/3,1/1,262/262,266/266,ok,117106,13.3292,266/266,ok,117106,13.3292,ok,1
task111,3/3,1/1,261/261,265/265,ok,797,18.3191,265/265,ok,797,18.3191,ok,1
task112,3/3,1/1,262/262,266/266,ok,59270,14.0101,266/266,ok,59270,14.0101,ok,1
task113,2/2,1/1,262/262,265/265,ok,30,21.5988,265/265,ok,30,21.5988,ok,1
task114,3/3,1/1,262/262,266/266,ok,1254,17.8659,266/266,ok,1254,17.8659,ok,1
task115,3/3,1/1,262/262,266/266,ok,4122,16.6759,266/266,ok,4122,16.6759,ok,1
task116,4/4,1/1,262/262,267/267,ok,30,21.5988,267/267,ok,30,21.5988,ok,1
task117,3/3,1/1,261/261,265/265,ok,18146,15.1938,265/265,ok,18146,15.1938,ok,1
task118,4/4,1/1,262/262,267/267,ok,116244,13.3366,267/267,ok,116244,13.3366,ok,1
task119,3/3,1/1,262/262,266/266,ok,16640,15.2804,266/266,ok,16640,15.2804,ok,1
task120,3/3,1/1,262/262,266/266,ok,910,18.1866,266/266,ok,910,18.1866,ok,1
task121,3/3,1/1,262/262,266/266,ok,6530,16.2158,266/266,ok,6530,16.2158,ok,1
task122,3/3,1/1,262/262,266/266,ok,2510,17.1720,266/266,ok,2510,17.1720,ok,1
task123,3/3,1/1,261/261,265/265,ok,4104,16.6803,265/265,ok,4104,16.6803,ok,1
task124,3/3,2/2,262/262,267/267,ok,10873,15.7060,267/267,ok,10873,15.7060,ok,1
task125,2/2,1/1,262/262,265/265,ok,13417,15.4957,265/265,ok,13417,15.4957,ok,1
task126,3/3,1/1,262/262,266/266,ok,86091,13.6368,266/266,ok,86091,13.6368,ok,1
task127,4/4,1/1,262/262,267/267,ok,900,18.1976,267/267,ok,900,18.1976,ok,1
task128,3/3,1/1,262/262,266/266,ok,95042,13.5379,266/266,ok,95042,13.5379,ok,1
task129,3/3,1/1,261/261,265/265,ok,818,18.2931,265/265,ok,818,18.2931,ok,1
task130,2/2,1/1,262/262,265/265,ok,15948,15.3229,265/265,ok,15948,15.3229,ok,1
task131,3/3,1/1,262/262,266/266,ok,44550,14.2956,266/266,ok,44550,14.2956,ok,1
task132,4/4,1/1,262/262,267/267,ok,29458,14.7093,267/267,ok,29458,14.7093,ok,1
task133,4/4,1/1,262/262,267/267,ok,196680,12.8107,267/267,ok,196680,12.8107,ok,1
task134,3/3,1/1,262/262,266/266,ok,12388,15.5755,266/266,ok,12388,15.5755,ok,1
task135,4/4,1/1,261/261,266/266,ok,366,19.0974,266/266,ok,366,19.0974,ok,1
task136,3/3,1/1,262/262,266/266,ok,4837,16.5160,266/266,ok,4837,16.5160,ok,1
task137,3/3,1/1,262/262,266/266,ok,58034,14.0312,266/266,ok,58034,14.0312,ok,1
task138,3/3,1/1,262/262,266/266,ok,48399,14.2128,266/266,ok,48399,14.2128,ok,1
task139,2/2,1/1,262/262,265/265,ok,3630,16.8030,265/265,ok,3630,16.8030,ok,1
task140,2/2,1/1,262/262,265/265,ok,376,19.0704,265/265,ok,376,19.0704,ok,1
task141,3/3,1/1,261/261,265/265,ok,15819,15.3310,265/265,ok,15819,15.3310,ok,1
task142,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task143,3/3,1/1,262/262,266/266,ok,19441,15.1249,266/266,ok,19441,15.1249,ok,1
task144,4/4,1/1,262/262,267/267,ok,786,18.3330,267/267,ok,786,18.3330,ok,1
task145,4/4,1/1,262/262,267/267,ok,73357,13.7969,267/267,ok,73357,13.7969,ok,1
task146,4/4,1/1,262/262,267/267,ok,2256,17.2787,267/267,ok,2256,17.2787,ok,1
task147,4/4,1/1,262/262,267/267,ok,910,18.1866,267/267,ok,910,18.1866,ok,1
task148,3/3,1/1,262/262,266/266,ok,22029,14.9999,266/266,ok,22029,14.9999,ok,1
task149,4/4,1/1,262/262,267/267,ok,5139,16.4554,267/267,ok,5139,16.4554,ok,1
task150,3/3,1/1,262/262,266/266,ok,1076,18.0190,266/266,ok,1076,18.0190,ok,1
task151,3/3,1/1,262/262,266/266,ok,910,18.1866,266/266,ok,910,18.1866,ok,1
task152,4/4,1/1,262/262,267/267,ok,1800,17.5045,267/267,ok,1800,17.5045,ok,1
task153,3/3,1/1,261/261,265/265,ok,21618,15.0187,265/265,ok,21618,15.0187,ok,1
task154,3/3,1/1,262/262,266/266,ok,43382,14.3222,266/266,ok,43382,14.3222,ok,1
task155,3/3,1/1,262/262,266/266,ok,1076,18.0190,266/266,ok,1076,18.0190,ok,1
task156,2/2,1/1,262/262,265/265,ok,26350,14.8208,265/265,ok,26350,14.8208,ok,1
task157,2/2,1/1,262/262,265/265,ok,75113,13.7733,265/265,ok,75113,13.7733,ok,1
task158,3/3,1/1,262/262,266/266,ok,191304,12.8384,266/266,ok,191304,12.8384,ok,1
task159,3/3,1/1,261/261,265/265,ok,89501,13.5980,265/265,ok,89501,13.5980,ok,1
task160,2/2,1/1,262/262,265/265,ok,4586,16.5692,265/265,ok,4586,16.5692,ok,1
task161,3/3,1/1,262/262,266/266,ok,64639,13.9234,266/266,ok,64639,13.9234,ok,1
task162,3/3,1/1,262/262,266/266,ok,63291,13.9445,266/266,ok,63291,13.9445,ok,1
task163,4/4,1/1,262/262,267/267,ok,23949,14.9163,267/267,ok,23949,14.9163,ok,1
task164,4/4,1/1,262/262,267/267,ok,30,21.5988,267/267,ok,30,21.5988,ok,1
task165,3/3,1/1,261/261,265/265,ok,67524,13.8798,265/265,ok,67524,13.8798,ok,1
task166,3/3,1/1,262/262,266/266,ok,24789,14.8818,266/266,ok,24789,14.8818,ok,1
task167,5/5,1/1,262/262,268/268,ok,685,18.4706,268/268,ok,685,18.4706,ok,1
task168,2/2,1/1,262/262,265/265,ok,20503,15.0717,265/265,ok,20503,15.0717,ok,1
task169,3/3,1/1,262/262,266/266,ok,23629,14.9298,266/266,ok,23629,14.9298,ok,1
task170,3/3,1/1,262/262,266/266,ok,82130,13.6839,266/266,ok,82130,13.6839,ok,1
task171,4/4,1/1,49/49,54/54,ok,910,18.1866,54/54,ok,910,18.1866,ok,1
task172,4/4,1/1,262/262,267/267,ok,30,21.5988,267/267,ok,30,21.5988,ok,1
task173,3/3,1/1,262/262,266/266,ok,181492,12.8910,266/266,ok,181492,12.8910,ok,1
task174,3/3,1/1,262/262,266/266,ok,53099,14.1201,266/266,ok,53099,14.1201,ok,1
task175,3/3,1/1,262/262,266/266,ok,87620,13.6192,266/266,ok,87620,13.6192,ok,1
task176,3/3,1/1,21/21,25/25,ok,7920,16.0229,25/25,ok,7920,16.0229,ok,1
task177,3/3,1/1,261/261,265/265,ok,59826,14.0008,265/265,ok,59826,14.0008,ok,1
task178,5/5,1/1,262/262,268/268,ok,29331,14.7136,268/268,ok,29331,14.7136,ok,1
task179,4/4,1/1,262/262,267/267,ok,0,25.0000,267/267,ok,0,25.0000,ok,1
task180,5/5,1/1,262/262,268/268,ok,7450,16.0840,268/268,ok,7450,16.0840,ok,1
task181,3/3,1/1,262/262,266/266,ok,1194,17.9149,266/266,ok,1194,17.9149,ok,1
task182,4/4,1/1,262/262,267/267,ok,47587,14.2297,267/267,ok,47587,14.2297,ok,1
task183,3/3,1/1,261/261,265/265,ok,24854,14.8792,265/265,ok,24854,14.8792,ok,1
task184,3/3,1/1,165/165,169/169,ok,38855,14.4324,169/169,ok,44248,14.3024,ok,1
task185,4/4,1/1,262/262,267/267,ok,59584,14.0049,267/267,ok,59584,14.0049,ok,1
task186,10/10,2/2,255/255,267/267,ok,360,19.1139,267/267,ok,360,19.1139,ok,1
task187,3/3,1/1,262/262,266/266,ok,106213,13.4268,266/266,ok,106213,13.4268,ok,1
task188,3/3,1/1,262/262,266/266,ok,10664,15.7254,266/266,ok,10664,15.7254,ok,1
task189,3/3,1/1,262/262,266/266,ok,24684,14.8861,266/266,ok,24684,14.8861,ok,1
task190,3/3,1/1,262/262,266/266,ok,11204,15.6760,266/266,ok,11204,15.6760,ok,1
task191,4/4,1/1,262/262,267/267,ok,709342,11.5279,267/267,ok,709342,11.5279,ok,1
task192,2/2,1/1,262/262,265/265,ok,54535,14.0934,265/265,ok,54535,14.0934,ok,1
task193,3/3,1/1,262/262,266/266,ok,53661,14.1096,266/266,ok,53661,14.1096,ok,1
task194,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task195,3/3,1/1,261/261,265/265,ok,14229,15.4370,265/265,ok,14229,15.4370,ok,1
task196,3/3,1/1,262/262,266/266,ok,32242,14.6190,266/266,ok,32242,14.6190,ok,1
task197,4/4,1/1,262/262,267/267,ok,50688,14.1666,267/267,ok,50688,14.1666,ok,1
task198,3/3,1/1,262/262,266/266,ok,103821,13.4496,266/266,ok,103821,13.4496,ok,1
task199,3/3,1/1,262/262,266/266,ok,16157,15.3099,266/266,ok,16157,15.3099,ok,1
task200,3/3,1/1,80/80,84/84,ok,8295,15.9766,84/84,ok,8295,15.9766,ok,1
task201,4/4,1/1,261/261,266/266,ok,93480,13.5545,266/266,ok,93480,13.5545,ok,1
task202,4/4,1/1,225/225,230/230,ok,125720,13.2582,230/230,ok,125720,13.2582,ok,1
task203,4/4,1/1,262/262,267/267,ok,86534,13.6317,267/267,ok,86534,13.6317,ok,1
task204,5/5,1/1,262/262,268/268,ok,118846,13.3144,268/268,ok,118846,13.3144,ok,1
task205,3/3,1/1,262/262,266/266,ok,112313,13.3710,266/266,ok,112313,13.3710,ok,1
task206,3/3,1/1,262/262,266/266,ok,66480,13.8953,266/266,ok,66480,13.8953,ok,1
task207,3/3,1/1,261/261,265/265,ok,1875,17.4636,265/265,ok,1875,17.4636,ok,1
task208,3/3,1/1,262/262,266/266,ok,92408,13.5660,266/266,ok,92408,13.5660,ok,1
task209,3/3,1/1,262/262,266/266,ok,122356,13.2853,266/266,ok,122356,13.2853,ok,1
task210,3/3,1/1,262/262,266/266,ok,30,21.5988,266/266,ok,30,21.5988,ok,1
task211,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task212,2/2,1/1,262/262,265/265,ok,10069,15.7828,265/265,ok,10069,15.7828,ok,1
task213,3/3,1/1,261/261,265/265,ok,52361,14.1341,265/265,ok,52361,14.1341,ok,1
task214,3/3,1/1,262/262,266/266,ok,1800,17.5045,266/266,ok,1800,17.5045,ok,1
task215,2/2,1/1,262/262,265/265,ok,38094,14.4522,265/265,ok,38094,14.4522,ok,1
task216,3/3,1/1,262/262,266/266,ok,104412,13.4439,266/266,ok,104412,13.4439,ok,1
task217,3/3,1/1,262/262,266/266,ok,17924,15.2061,266/266,ok,17924,15.2061,ok,1
task218,3/3,1/1,262/262,266/266,ok,23202,14.9480,266/266,ok,23202,14.9480,ok,1
task219,3/3,1/1,261/261,265/265,ok,82452,13.6800,265/265,ok,82452,13.6800,ok,1
task220,4/4,1/1,262/262,267/267,ok,900,18.1976,267/267,ok,900,18.1976,ok,1
task221,4/4,1/1,262/262,267/267,ok,55865,14.0693,267/267,ok,55865,14.0693,ok,1
task222,3/3,1/1,262/262,266/266,ok,58035,14.0312,266/266,ok,58035,14.0312,ok,1
task223,2/2,1/1,262/262,265/265,ok,1800,17.5045,265/265,ok,1800,17.5045,ok,1
task224,3/3,1/1,262/262,266/266,ok,45522,14.2740,266/266,ok,45522,14.2740,ok,1
task225,3/3,1/1,261/261,265/265,ok,11240,15.6728,265/265,ok,11240,15.6728,ok,1
task226,3/3,1/1,129/129,133/133,ok,5559,16.3768,133/133,ok,5559,16.3768,ok,1
task227,4/4,1/1,262/262,267/267,ok,2927,17.0183,267/267,ok,2927,17.0183,ok,1
task228,3/3,1/1,262/262,266/266,ok,25086,14.8699,266/266,ok,25086,14.8699,ok,1
task229,4/4,1/1,262/262,267/267,ok,1409,17.7494,267/267,ok,1409,17.7494,ok,1
task230,3/3,1/1,262/262,266/266,ok,900,18.1976,266/266,ok,900,18.1976,ok,1
task231,3/3,1/1,262/262,266/266,ok,38220,14.4489,266/266,ok,38220,14.4489,ok,1
task232,3/3,1/1,262/262,266/266,ok,29497,14.7080,266/266,ok,29497,14.7080,ok,1
task233,3/3,1/1,262/262,266/266,ok,1456755,10.8083,266/266,ok,1456755,10.8083,ok,1
task234,3/3,1/1,262/262,266/266,ok,81703,13.6892,266/266,ok,81703,13.6892,ok,1
task235,4/4,1/1,64/64,69/69,ok,1326,17.8101,69/69,ok,1326,17.8101,ok,1
task236,4/4,1/1,262/262,267/267,ok,641,18.5370,267/267,ok,641,18.5370,ok,1
task237,4/4,1/1,261/261,266/266,ok,14324,15.4303,266/266,ok,14324,15.4303,ok,1
task238,3/3,1/1,262/262,266/266,ok,64372,13.9276,266/266,ok,64372,13.9276,ok,1
task239,4/4,1/1,262/262,267/267,ok,96277,13.5250,267/267,ok,96277,13.5250,ok,1
task240,3/3,1/1,262/262,266/266,ok,27847,14.7655,266/266,ok,47734,14.2266,ok,1
task241,3/3,1/1,262/262,266/266,ok,0,25.0000,266/266,ok,0,25.0000,ok,1
task242,3/3,1/1,262/262,266/266,ok,20119,15.0906,266/266,ok,20119,15.0906,ok,1
task243,3/3,1/1,261/261,265/265,ok,108967,13.4012,265/265,ok,108967,13.4012,ok,1
task244,3/3,1/1,262/262,266/266,ok,32612,14.6076,266/266,ok,32612,14.6076,ok,1
task245,4/4,1/1,262/262,267/267,ok,29012,14.7245,267/267,ok,29012,14.7245,ok,1
task246,3/3,1/1,262/262,266/266,ok,13391,15.4977,266/266,ok,13391,15.4977,ok,1
task247,6/6,1/1,262/262,269/269,ok,22175,14.9933,269/269,ok,22175,14.9933,ok,1
task248,3/3,1/1,9/9,13/13,ok,7180,16.1209,13/13,ok,7180,16.1209,ok,1
task249,3/3,1/1,261/261,265/265,ok,8999,15.8951,265/265,ok,8999,15.8951,ok,1
task250,2/2,1/1,262/262,265/265,ok,13401,15.4969,265/265,ok,13401,15.4969,ok,1
task251,3/3,1/1,262/262,266/266,ok,101479,13.4724,266/266,ok,101479,13.4724,ok,1
task252,3/3,1/1,262/262,266/266,ok,38286,14.4472,266/266,ok,38286,14.4472,ok,1
task253,2/2,1/1,262/262,265/265,ok,48269,14.2155,265/265,ok,48269,14.2155,ok,1
task254,2/2,1/1,262/262,265/265,ok,7956,16.0183,265/265,ok,7956,16.0183,ok,1
task255,3/3,1/1,261/261,265/265,ok,1593763,10.7184,265/265,ok,42917144,7.4252,ok,1
task256,3/3,1/1,262/262,266/266,ok,21291,15.0340,266/266,ok,21291,15.0340,ok,1
task257,6/6,1/1,262/262,269/269,ok,1077,18.0181,269/269,ok,1077,18.0181,ok,1
task258,3/3,1/1,262/262,266/266,ok,160,19.9248,266/266,ok,160,19.9248,ok,1
task259,3/3,1/1,262/262,266/266,ok,6885,16.1629,266/266,ok,6885,16.1629,ok,1
task260,3/3,1/1,262/262,266/266,ok,12474,15.5686,266/266,ok,12474,15.5686,ok,1
task261,3/3,1/1,261/261,265/265,ok,200,19.7017,265/265,ok,200,19.7017,ok,1
task262,4/4,1/1,6/6,11/11,ok,3770,16.7652,11/11,ok,3770,16.7652,ok,1
task263,4/4,1/1,262/262,267/267,ok,8056,16.0058,267/267,ok,8056,16.0058,ok,1
task264,2/2,1/1,262/262,265/265,ok,139436,13.1546,265/265,ok,139436,13.1546,ok,1
task265,3/3,1/1,262/262,266/266,ok,39812,14.4081,266/266,ok,39812,14.4081,ok,1
task266,4/4,1/1,15/15,20/20,ok,910,18.1866,20/20,ok,910,18.1866,ok,1
task267,2/2,1/1,261/261,264/264,ok,1255,17.8651,264/264,ok,1255,17.8651,ok,1
task268,3/3,1/1,262/262,266/266,ok,22387,14.9838,266/266,ok,22387,14.9838,ok,1
task269,3/3,1/1,262/262,266/266,ok,8602,15.9402,266/266,ok,8602,15.9402,ok,1
task270,3/3,1/1,262/262,266/266,ok,28745,14.7338,266/266,ok,28745,14.7338,ok,1
task271,4/4,1/1,262/262,267/267,ok,28991,14.7253,267/267,ok,28991,14.7253,ok,1
task272,4/4,1/1,262/262,267/267,ok,910,18.1866,267/267,ok,910,18.1866,ok,1
task273,3/3,1/1,262/262,266/266,ok,6037,16.2943,266/266,ok,6037,16.2943,ok,1
task274,6/6,1/1,262/262,269/269,ok,8761,15.9219,269/269,ok,8761,15.9219,ok,1
task275,3/3,1/1,262/262,266/266,ok,83884,13.6628,266/266,ok,83884,13.6628,ok,1
task276,3/3,1/1,262/262,266/266,ok,10,22.6974,266/266,ok,10,22.6974,ok,1
