task_id,source,src_path,src_sha256,v4plus3_visible_pass,v3_visible_pass,v4plus3_cost,v3_cost,delta_score
task087,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task087.onnx,fd8bb9f6e85cbfcd68c2edb1cfd2b2968f4ef9066816b2763110e0086381148b,266/266,266/266,376,368,+0.0215
task091,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task091.onnx,54b4f81da947fe9e1062238aea5766f1b3401479292e90556a2fac1107b7a72c,266/266,266/266,51495,51466,+0.0006
task100,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task100.onnx,dceade053a44b3cc0ee481a2b109060da44f7e12dc34d583c301f1c9d6f84691,266/266,266/266,7076,6536,+0.0794
task104,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task104.onnx,2a9e28757c576c2248ca53c517bd98d43633ab65ecfa9542bebc9fc050ad2b0a,7/7,7/7,3762,3682,+0.0215
task110,v3-lossless(opt),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task110.onnx,3bed39a0366da6112b4a9723de5f0eb59de61ebadd00092f83c362053f5ece84,266/266,266/266,117106,108697,+0.0745
task135,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task135.onnx,a6eca6896b1dbbcd1bf944fb6c9538e2c5fc2cf15786dac3b683be3574fcd543,266/266,266/266,366,360,+0.0165
task140,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task140.onnx,35298d837506c049f25a80c79e44804bf5b76de02a18f7c2e3bf35a0e4b535c9,265/265,265/265,376,368,+0.0215
task150,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task150.onnx,eef66466514ec7a5328062908ce1f14ca3b8e113c6b1cf7adfe182abcc341de8,266/266,266/266,1076,1014,+0.0593
task155,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task155.onnx,eb14dfb5dced388e02e786c70561a892c539daf1e48ed47cd695642c53b65585,266/266,266/266,1076,1014,+0.0593
task168,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task168.onnx,24e27e72411c8561da75b446c8d7253b7581784b14d9d8063097e06ac83fac71,265/265,265/265,20503,20403,+0.0049
task170,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task170.onnx,40c7d62d579c2d8926059eb3c557934286ca2ed2507772f25b157bc0a91d75ba,266/266,266/266,82130,78564,+0.0444
task173,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task173.onnx,6422b0cd8c4551cb02c6733546b9d7f1b9130a0e4e58c7132e4791558a968ec7,266/266,266/266,181492,175243,+0.0350
task174,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task174.onnx,4501407339b9e160ae271315971c5baa39151bb8f252ce075fee7e027ffb1686,266/266,266/266,53099,52019,+0.0205
task187,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task187.onnx,a12ff26344d3636a415f318272f96b57a7e6c98ebd9e5bd92bc9465f8ff342d7,266/266,266/266,106213,105313,+0.0085
task189,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task189.onnx,8feb91f1cc27fca0b315416ca074d36c658d8f9683b58d95609bba625e80b4ad,266/266,266/266,24684,24649,+0.0014
task192,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task192.onnx,02da2ed1d0363997e45f8c5bfe6fef9b8de614300b6189a91ffc9a8d49a37a05,265/265,265/265,54535,51968,+0.0482
task201,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task201.onnx,38bd02d717e5ab0a9e14bc97fdda66c68e8a52c2b2686fbb9411671b3abf5da8,266/266,266/266,93480,92700,+0.0084
task206,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task206.onnx,1ac8f234abad1624589f9b5ba6a54874c1fa67de670126f5adb9071b1ddb9e55,266/266,266/266,66480,61387,+0.0797
task212,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task212.onnx,e0d35281ab42a5512d94c197cd35136e014ae6e7ed1a41b07e9ee2016119e2fc,265/265,265/265,10069,9970,+0.0099
task213,v3-lossless(int),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task213.onnx,10daeca5b708851b3e54ddd8ccde3c509d7f8b92bb053a386ddb2c7063dfa284,265/265,265/265,52361,50117,+0.0438
task216,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task216.onnx,8736d30a18de065d1250ea21affacb0eccba6097e3139d7e8ebfee451365a4d4,266/266,266/266,104412,103812,+0.0058
task225,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task225.onnx,29a76e5536c419ef3e3747f899f51614ee6699ad35ad5fb9b073ba5d5f52d257,265/265,265/265,11240,11078,+0.0145
task244,v3-lossless(int),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task244.onnx,5e89a791b71f0f02607e18873dffc8cf0cd4f287aee429d36e29feb7d843867f,266/266,266/266,32612,31770,+0.0262
task250,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task250.onnx,a597d41fb3635cef1fb65c5c4818682efa2468a8b8b38ce1e86c82df9be4df2a,265/265,265/265,13401,12141,+0.0987
task251,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task251.onnx,82d350374d90693c70187cdf979ebb574c69cda11c9c56813abeb372eed8e78f,266/266,266/266,101479,100580,+0.0089
task252,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task252.onnx,f94f1914ddc282177a848c90a7aac926b6095d8fffc5a863c722843121c979c3,266/266,266/266,38286,38062,+0.0059
task256,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task256.onnx,c62955c5ac4951f368900ad06f3a5ed4fa9817b2e3f8f0a049b5ef354c21fc4f,266/266,266/266,21291,21123,+0.0079
task259,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task259.onnx,cd8f2883b4e59672ccd19f5a5b45fc92a1c48a4e736beaa179e62ce6d6dd7a07,266/266,266/266,6885,6843,+0.0061
task270,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task270.onnx,b73a12746408a64fc660309ec22c45ab3d2fdb4874d20e70981ac3d877927cba,266/266,266/266,28745,27301,+0.0515
task274,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task274.onnx,05e714a8af955d6f5061cbf93ea6964c368b3f5c164831d0bff7c9a31b8986d6,269/269,269/269,8761,8581,+0.0208
task279,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task279.onnx,77ad3d002b2c64888991d763c754fc018247f352e78c562d64fca7db08032314,266/266,266/266,27422,26330,+0.0406
task292,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task292.onnx,e07b37f22f098e404b58d7607ce39d0fe5eddd0d9460f62732e9ce79fdb66757,28/28,28/28,6345,6305,+0.0063
task293,v3-lossless(int),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task293.onnx,2e7bfffcf5118fe59a8696a7973cfea6de63af4180130714f9f63788434cd556,267/267,267/267,25277,24763,+0.0205
task297,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task297.onnx,d627eca68b90f28a02781a8682497d5d894ddf8ff7e163243e795361ab962953,265/265,265/265,9508,9172,+0.0360
task300,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task300.onnx,636b174c4333259b7ef746830a9768013b6f733d02576aeabe427095253be1e8,267/267,267/267,77575,77546,+0.0004
task304,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task304.onnx,06814b3c9e89e0e99a7912ec3975a71e82891a22624fa4ed401a2bdfb2d9560c,266/266,266/266,14574,14494,+0.0055
task318,v3-lossless(opt),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task318.onnx,c3bad4dd178480e49327942b997d1e6816254aec1d649c8cae0bb01da1c39ae1,267/267,267/267,754,737,+0.0228
task326,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task326.onnx,d8c069fbf425d2fc92a051625cd6ab3ed7942bb3f87ef81c26b098ca464da222,266/266,266/266,166,160,+0.0368
task335,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task335.onnx,df7e9b8596d842b5ccccb92f6dbade8c446c1be3167bc5a0d2345a2a5f0d1e52,266/266,266/266,49362,46249,+0.0651
task338,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task338.onnx,c4e2d784490156e8a4ba7ee3f80c9706021d7bca46e83c27c2aaab16a43710e1,267/267,267/267,46899,45016,+0.0410
task346,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task346.onnx,e127612bc10915231c09b9a410db00be87b798db0d06b4ac227cf3a1d03dbfa9,267/267,267/267,9178,9178,+0.0000
task347,v3-lossless(opt),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task347.onnx,1d85d68af1f6fb61d48534f26940146d8c8cd26d1252ac47c295167acd8a62b6,269/269,269/269,1631,1605,+0.0161
task361,v3-lossless(int),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task361.onnx,58c2988d1f57c0e95d5ac624593c05c1ec9521459d3f9f66e1c052a23f3c961f,266/266,266/266,16493,15493,+0.0625
task362,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task362.onnx,809f348845562e3a2af3412a38f9a7bf492e320a45d1adebf5e278757bb88f21,267/267,267/267,12038,11939,+0.0083
task365,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task365.onnx,b5433fef2a486e434f677cabc36a073d21f90962bd37a741806cbce8ba33a836,266/266,266/266,59004,58814,+0.0032
task377,v3-lossless(sim),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task377.onnx,3b8b44d3f75627d8be2375371dbcc4c141519d0f4750e6935253023840293328,266/266,266/266,64881,59224,+0.0912
task378,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task378.onnx,83b85af797290c872bb4445a649a62c3dbb79def4efe2837004cc95fe7d9308f,267/267,267/267,41000,39008,+0.0498
task380,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task380.onnx,5738b9a32c4e060390dd4e9616533654a3951ef69af2721854b0ba55a010d39c,267/267,267/267,737,728,+0.0123
task383,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task383.onnx,76b3c84cc83d22a6e1cfcf3cf631a9ebf979bd96f557b1e644efbe9325f733f6,266/266,266/266,129967,129068,+0.0069
task384,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task384.onnx,f0df167c63399347edeca26b04c3bf18712c68fa26dccbbe266d4e5755d907cf,266/266,266/266,74751,74722,+0.0004
task386,v3-lossless(opt),submissions/candidate_nadeem6252_plus_ours_v3_onnx/task386.onnx,30e6c4f44c318f69f5aa740f9a98bbe61bdd21fa4b3253758b8e8fa0adb2b849,268/268,268/268,2207,2181,+0.0119
task390,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task390.onnx,8beebca53dbcb17ddb3257f25febefec6a9f7212108ea7bd3d5155b14ea933c9,266/266,266/266,24721,24692,+0.0012
task397,v3-raw-nadeem,submissions/candidate_nadeem6252_plus_ours_v3_onnx/task397.onnx,ec9b058741eaf99344ec4924d5f8477c3c76806ed7bdd2e9f5e72d470c7b0255,266/266,266/266,21241,21142,+0.0047
